call_idx,unit_id,oracle_label_after_query
0,62,negative
1,111,positive
2,109,negative
3,10,negative
4,112,negative
5,110,negative
6,107,negative
7,102,negative
8,105,negative
9,24,negative
10,58,positive
11,103,negative
12,21,negative
13,104,negative
14,93,negative
15,39,positive
16,92,negative
17,97,negative
18,87,positive
19,88,positive
20,86,positive
21,118,negative
22,108,negative
23,30,negative
24,81,positive
25,55,negative
26,85,positive
27,84,positive
28,82,negative
29,80,negative
30,91,negative
31,83,positive
32,79,positive
33,60,negative
34,78,negative
35,89,negative
36,90,negative
37,73,negative
38,71,positive
39,6,negative
40,70,positive
41,72,negative
42,77,positive
43,66,negative
44,76,positive
45,26,negative
46,25,positive
47,75,negative
48,69,negative
49,68,negative
50,16,negative
51,64,negative
52,42,negative
53,5,positive
54,59,negative
55,57,negative
56,49,positive
57,51,negative
58,50,positive
59,15,negative
60,67,negative
61,94,negative
62,48,negative
63,101,negative
64,44,negative
65,95,negative
66,115,negative
67,31,negative
68,14,negative
69,38,positive
70,98,positive
71,106,positive
72,8,negative
73,99,negative
74,65,negative
75,37,negative
76,40,positive
77,36,negative
78,41,negative
79,4,positive
80,53,positive
81,54,negative
82,52,negative
83,3,positive
84,7,positive
85,56,positive
86,2,negative
87,1,negative
88,117,negative
89,0,negative
