bin_idx,local_t_start,local_t_end,label,is_positive,event_id,prior_score_max,prior_score_mean,t_start,t_end
0,0.0,10.0,negative,False,,0.905392,0.905392,0.0,10.0
1,10.0,20.0,negative,False,,0.961415,0.9334035,10.0,20.0
2,20.0,30.0,negative,False,,0.848739,0.848739,20.0,30.0
3,30.0,40.0,negative,False,,0.160417,0.1522325,30.0,40.0
4,40.0,50.0,negative,False,,0.193072,0.16856,40.0,50.0
5,50.0,60.0,negative,False,,0.199138,0.196105,50.0,60.0
6,60.0,70.0,negative,False,,0.245833,0.245833,60.0,70.0
7,70.0,80.0,negative,False,,0.411017,0.3635215,70.0,80.0
8,80.0,90.0,positive,True,realcartest_event_0020,0.316026,0.2950745,80.0,90.0
9,90.0,100.0,negative,False,,0.323077,0.2986,90.0,100.0
10,100.0,110.0,negative,False,,0.267308,0.207528,100.0,110.0
11,110.0,120.0,negative,False,,0.288865,0.2183065,110.0,120.0
12,120.0,130.0,negative,False,,0.463172,0.3760185,120.0,130.0
13,130.0,140.0,negative,False,,0.260349,0.260349,130.0,140.0
14,140.0,150.0,negative,False,,0.578081,0.532108,140.0,150.0
15,150.0,160.0,positive,True,realcartest_event_0021,0.766387,0.672234,150.0,160.0
16,160.0,170.0,negative,False,,0.855812,0.8110995000000001,160.0,170.0
17,170.0,180.0,negative,False,,0.541667,0.541667,170.0,180.0
18,180.0,190.0,negative,False,,0.879062,0.7496849999999999,180.0,190.0
19,190.0,200.0,negative,False,,1.0,0.939531,190.0,200.0
20,200.0,210.0,negative,False,,1.0,1.0,200.0,210.0
21,210.0,220.0,negative,False,,1.0,0.732038,210.0,220.0
22,220.0,230.0,negative,False,,0.52584,0.494958,220.0,230.0
23,230.0,240.0,negative,False,,0.584944,0.555392,230.0,240.0
24,240.0,250.0,negative,False,,0.357345,0.357345,240.0,250.0
25,250.0,260.0,negative,False,,0.80098,0.7833330000000001,250.0,260.0
26,260.0,270.0,negative,False,,1.0,0.882843,260.0,270.0
27,270.0,280.0,negative,False,,1.0,1.0,270.0,280.0
28,280.0,290.0,negative,False,,0.566106,0.566106,280.0,290.0
29,290.0,300.0,negative,False,,0.853852,0.846569,290.0,300.0
30,300.0,310.0,negative,False,,0.839286,0.7190829999999999,300.0,310.0
31,310.0,320.0,negative,False,,0.59888,0.5856444999999999,310.0,320.0
32,320.0,330.0,negative,False,,0.510784,0.4890405,320.0,330.0
33,330.0,340.0,negative,False,,0.469188,0.4682425,330.0,340.0
34,340.0,350.0,negative,False,,0.809174,0.639181,340.0,350.0
35,350.0,360.0,negative,False,,0.75063,0.75063,350.0,360.0
36,360.0,370.0,negative,False,,0.854482,0.7414215,360.0,370.0
