bin_idx,local_t_start,local_t_end,label,is_positive,event_id,prior_score_max,prior_score_mean,t_start,t_end
0,0.0,10.0,positive,True,realcartest_event_0042,0.913796,0.8076335,0.0,10.0
1,10.0,20.0,positive,True,realcartest_event_0042,1.0,1.0,10.0,20.0
2,20.0,30.0,positive,True,realcartest_event_0042,1.0,1.0,20.0,30.0
3,30.0,40.0,positive,True,realcartest_event_0042,1.0,1.0,30.0,40.0
4,40.0,50.0,negative,False,,1.0,1.0,40.0,50.0
5,50.0,60.0,negative,False,,1.0,0.94965,50.0,60.0
6,60.0,70.0,negative,False,,1.0,0.94965,60.0,70.0
7,70.0,80.0,negative,False,,1.0,0.9064775,70.0,80.0
8,80.0,90.0,negative,False,,0.670588,0.670588,80.0,90.0
9,90.0,100.0,negative,False,,0.906162,0.8617645,90.0,100.0
10,100.0,110.0,negative,False,,0.817367,0.8003499999999999,100.0,110.0
11,110.0,120.0,negative,False,,0.783333,0.7641104999999999,110.0,120.0
12,120.0,130.0,negative,False,,0.462815,0.462815,120.0,130.0
13,130.0,140.0,negative,False,,0.680042,0.557248,130.0,140.0
14,140.0,150.0,negative,False,,0.620868,0.5276609999999999,140.0,150.0
15,150.0,160.0,negative,False,,0.620868,0.617437,150.0,160.0
16,160.0,170.0,positive,True,realcartest_event_0043,0.965966,0.7417715,160.0,170.0
17,170.0,180.0,positive,True,realcartest_event_0043,0.965966,0.918102,170.0,180.0
18,180.0,190.0,negative,False,,0.870238,0.668102,180.0,190.0
19,190.0,200.0,negative,False,,0.244258,0.244258,190.0,200.0
20,200.0,210.0,negative,False,,0.661134,0.6456930000000001,200.0,210.0
21,210.0,220.0,negative,False,,0.715826,0.6730389999999999,210.0,220.0
22,220.0,230.0,negative,False,,0.715826,0.45486699999999997,220.0,230.0
23,230.0,240.0,negative,False,,0.25119,0.25119,230.0,240.0
24,240.0,250.0,negative,False,,1.0,0.6961135,240.0,250.0
25,250.0,260.0,negative,False,,1.0,0.9099090000000001,250.0,260.0
26,260.0,270.0,negative,False,,0.828571,0.8241944999999999,260.0,270.0
27,270.0,280.0,negative,False,,0.521359,0.457423,270.0,280.0
28,280.0,290.0,negative,False,,0.521359,0.49016400000000004,280.0,290.0
29,290.0,300.0,negative,False,,1.0,0.7294845,290.0,300.0
30,300.0,310.0,negative,False,,0.636794,0.636794,300.0,310.0
31,310.0,320.0,negative,False,,0.668067,0.614881,310.0,320.0
32,320.0,330.0,negative,False,,0.815476,0.7417715,320.0,330.0
33,330.0,340.0,negative,False,,0.815476,0.798144,330.0,340.0
34,340.0,350.0,negative,False,,0.861485,0.861485,340.0,350.0
35,350.0,360.0,negative,False,,0.892297,0.892297,350.0,360.0
36,360.0,370.0,negative,False,,0.90119,0.8967435,360.0,370.0
37,370.0,380.0,positive,True,realcartest_event_0044,0.90119,0.883543,370.0,380.0
38,380.0,390.0,negative,False,,0.873389,0.722584,380.0,390.0
39,390.0,400.0,negative,False,,1.0,0.9366945,390.0,400.0
40,400.0,410.0,negative,False,,1.0,0.784559,400.0,410.0
41,410.0,420.0,negative,False,,0.421218,0.421218,410.0,420.0
42,420.0,430.0,negative,False,,0.521919,0.426891,420.0,430.0
43,430.0,440.0,negative,False,,0.521919,0.44481800000000005,430.0,440.0
44,440.0,450.0,negative,False,,0.367717,0.36299000000000003,440.0,450.0
45,450.0,460.0,positive,True,realcartest_event_0045,0.42381,0.42381,450.0,460.0
46,460.0,470.0,negative,False,,0.445798,0.433228,460.0,470.0
47,470.0,480.0,negative,False,,0.445798,0.4297615,470.0,480.0
48,480.0,490.0,positive,True,realcartest_event_0046,0.562955,0.48834,480.0,490.0
49,490.0,500.0,positive,True,realcartest_event_0046,0.758824,0.7377105,490.0,500.0
50,500.0,510.0,negative,False,,0.894818,0.8057075,500.0,510.0
51,510.0,520.0,positive,True,realcartest_event_0047,0.894818,0.766947,510.0,520.0
52,520.0,530.0,positive,True,realcartest_event_0047,0.708403,0.708403,520.0,530.0
53,530.0,540.0,negative,False,,0.706443,0.6161415,530.0,540.0
54,540.0,550.0,negative,False,,0.52584,0.4814425,540.0,550.0
55,550.0,560.0,negative,False,,0.437045,0.3986345,550.0,560.0
56,560.0,570.0,negative,False,,0.431443,0.431443,560.0,570.0
57,570.0,580.0,negative,False,,0.787675,0.6507705,570.0,580.0
58,580.0,590.0,positive,True,realcartest_event_0048,1.0,0.8938375000000001,580.0,590.0
59,590.0,600.0,negative,False,,1.0,0.7386205,590.0,600.0
60,600.0,610.0,negative,False,,0.512465,0.512465,600.0,610.0
61,610.0,620.0,negative,False,,0.729202,0.6973389999999999,610.0,620.0
62,620.0,630.0,negative,False,,0.729202,0.714426,620.0,630.0
