path,sha256
DARE_AQP_Experiment_v1/README.md,02146a9e76756cd2717275709d2268791253031efd508b619037a5a8e6129727
DARE_AQP_Experiment_v1/RESEARCH_STATE.md,5a73aaae030cbade23b25781652e49165440e0f130b50f5d7d076c488bc8797e
DARE_AQP_Experiment_v1/docs/ROADMAP_AND_GATES.md,7e375cd1e4276e35d06dd6dd6b322741f67e02c7e81d30c18bdd53fbfee7f500
DARE_AQP_Experiment_v1/docs/INDEPENDENT_REVIEW.md,6eb03328a4edd82995921b0b4a2afe5607ea5dffe2b096c1db74de8b1bdf3608
DARE_AQP_Experiment_v1/outputs/gate_b/REPORT.md,faa520b03fcacb1bc9cef1291d0d8deddb865f595e6b787bd593f257fec55221
DARE_AQP_Experiment_v1/outputs/gate_a_final/REPORT.md,1462d0078d9eee85dfedb621bb7b39041ba20ef75cdd80414830fb5da41b0361
DARE_AQP_Experiment_v1/config/gate_c0.json,b88e842ab19e12d5c95a146d175671d7c1fa249e1495dc50d913b1f51586f5d0
DARE_AQP_Experiment_v1/docs/GATE_C0_PROTOCOL.md,97deed2529afa6212f39063cfcd9d9fbc1b51499797a4caeb823a6a4817b100e
DARE_AQP_Experiment_v1/docs/INTERVAL_ORACLE_CONTRACT.md,3add4aa44de00178181b1f0231caa9faba5bf07e7ecb802ba916aa0c8d1cad9f
DARE_AQP_Experiment_v1/src/dare_aqp/interval_ceiling.py,e664bc57e55c74ff569b6ae937c171907a8b58e9172579bf1d9104b0435777d3
DARE_AQP_Experiment_v1/outputs/gate_c0/break_even.csv,c6f9d1869c5692c5bee9acd1a10c7398f669e31ce92544407285bfae7c23ba03
DARE_AQP_Experiment_v1/outputs/gate_c0/query_traces.csv,7e480231e2ca41516fcc5c924bd995214b2b5b1f16aa256be7595f9b0d40ba41
DARE_AQP_Experiment_v1/outputs/gate_c0_physical_interval_operator_v1/FINAL_REPORT.md,8c99276bbe084b972ab00200d18278f41c05bb1e94c04514b1fb700df4f511a4
DARE_AQP_Experiment_v1/outputs/gate_c0_physical_interval_operator_v1/audit/C0_CONTRACT_RECOVERY.md,b04470ba895a2635024dc15727165d11d4c1a08651fdad45f4e476bd58e3cf3c
