previous_state,new_state,timestamp,input_hashes,output_hashes,pass,reason,recovery_command
,STRICT_BENCHMARK_BUILD,2026-07-10T17:10:13Z,"{""ultimate_goal_override"":""c81a206068530b0f07b698b67c2daa7c69dd2d9e30b844451ef2551de12732f8""}","{""strict_run_state_at_recovery"":""bcc4e3efac540efd91d9436c12c6248e114f4970d0e15669880e6d66ba3afe21""}",true,"Recovered an initialized but incomplete strict benchmark: phase=pre_inference_freeze, completed_units=0, physical_vlm_calls=0, benchmark_frozen=false.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/aeh_aqp_autorun_v1/scripts/goal_state.py verify
STRICT_BENCHMARK_BUILD,STRICT_BENCHMARK_BUILD,2026-07-10T17:56:12Z,"{""builder"":""4e52a5d9dc4de906350dc4e69b2c26cfb414d41f4a4281822acefa42120d1458"",""state_updater"":""0882bdb18d9cdca2c5fe92ef965c1ea84fac7254561c3771e8e74c61be7ae5c0""}","{""input_identities"":""48c513e121f1df2d43d64586d9936de937080585258a062facd5ba735420351e"",""oracle_build_manifest"":""f7621bf1a8d4743c5164be9141f4a62e482725f1d7b0b5589cc4bedcd02fb347"",""oracle_configuration"":""8e6662161e8b8e4eafd1da0bff276a4575938d231c5566133edf34ce1b912361""}",true,"Prepared strict_oracle_3b9ba1187c0449426978 with 347 identities, full model hashes, and 22593 runtime-package file hashes; zero VLM attempts.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/build_strict_oracle.py --stage infer --limit 1
STRICT_BENCHMARK_BUILD,STRICT_BENCHMARK_BUILD,2026-07-10T20:10:35Z,"{""input_identities"":""48c513e121f1df2d43d64586d9936de937080585258a062facd5ba735420351e"",""oracle_build_manifest"":""be3ab70c136260f550c781739678534fedacf63b308ecb04326e3bc220bbe8f3""}","{""oracle_cache_manifest"":""71f5e4e546043faeca2fe7fe5b910513b7d1ee186d5385dbeb94b1c624d3ebce"",""strict_oracle_complete"":""80f0ff75dd332bc979701375f36cb36b026995b3b8ba3235da7c35a0bfeae4b5"",""vlm_call_ledger"":""5c057ca6283f7ea77157985795d6daf4cfdf670fd57f12b26f33997c1204e98f""}",true,"Strict oracle COMPLETE_COMMIT verified: 347 fresh accepted physical generates, 0 legacy reuse, 0 parse failures, 0 uncertain or unresolved attempts, 347 unique input and RNG identities.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/build_strict_oracle.py --stage verify
STRICT_BENCHMARK_BUILD,STRICT_BENCHMARK_BUILD,2026-07-10T20:26:49Z,"{""expected_run_matrix"":""8d7936bd71d93be1ff310b76a5f1fc18f6841b859903764b35e4efba8a504527"",""strict_oracle_complete"":""80f0ff75dd332bc979701375f36cb36b026995b3b8ba3235da7c35a0bfeae4b5""}","{""benchmark_manifest"":""22dbfbcea1c570347f0ca97f8f08b0f331ea34f62bc154fd5af845fde12276b1"",""semantic_snapshot"":""c8e728cd5fe20c896f5d4186c9196275e04a0f0228dd53746ee1724e98f753b6"",""smoke_results"":""fef04f16473cdca11b2e5abd9d7c7f718d721d1f6fd32538f8eff5469a0cb7bc""}",true,Strict benchmark cbbv2_6b263fff8df1b5938bcf inputs and semantics frozen; public proxy exact-retention fail-closed gate passed; one fresh-oracle label changed vs blocked v2; 26 reference events; 8/8 exact-budget smoke variants passed.,python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/run_clean_benchmark_v2_strict.py --stage baselines
STRICT_BENCHMARK_BUILD,STRICT_BENCHMARK_AUDIT,2026-07-10T20:46:33Z,"{""benchmark_manifest"":""22dbfbcea1c570347f0ca97f8f08b0f331ea34f62bc154fd5af845fde12276b1"",""semantic_snapshot"":""c8e728cd5fe20c896f5d4186c9196275e04a0f0228dd53746ee1724e98f753b6""}","{""baseline_rankings"":""b2b2612ca35765586f2bf7444ebcd65caee2444b7bd174e600d087f05de5f2d7"",""baseline_registry"":""f0a59ac84615c571bca985fd8562812e49d5c47a3cf5342888ed542514a13628"",""current_registry"":""61dc0f720338b5792548c85f44845a2d3e332fbbf7ef8cc2254cdd840550e709"",""materializer_replay"":""2410754b596f0a33cb51cdfb37a1f3ed242a5e45c409bae4953243d21aec7f67""}",true,"Completed exact 1464 baseline plus 12 current runs with 64614 logical calls matching the frozen per-run plan, no unexpected/missing run IDs, no duplicate queries, and no BCM physical VLM calls; aggregate and comparison artifacts generated; semantic snapshot unchanged.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/finalize_strict_benchmark.py --stage audit
STRICT_BENCHMARK_AUDIT,STRICT_BENCHMARK_AUDIT,2026-07-10T20:46:58Z,"{""benchmark_manifest"":""12546f1420a8aaada1638ad1a09e5679edf8216e20a99af793819efe57a175ad"",""semantic_snapshot"":""c8e728cd5fe20c896f5d4186c9196275e04a0f0228dd53746ee1724e98f753b6""}","{""baseline_registry"":""f0a59ac84615c571bca985fd8562812e49d5c47a3cf5342888ed542514a13628"",""current_registry"":""61dc0f720338b5792548c85f44845a2d3e332fbbf7ef8cc2254cdd840550e709""}",true,Audit-entry hash correction: binds the authoritative post-smoke-fix benchmark manifest for cbbv2_6b263fff8df1b5938bcf. The prior event preserved a pre-fix manifest hash as historical evidence but did not alter current artifacts.,python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/finalize_strict_benchmark.py --stage audit
STRICT_BENCHMARK_AUDIT,STRICT_BENCHMARK_FREEZE_GATE,2026-07-11T02:03:05Z,"{""completion_audit"":""9eb8604dade3b6563bfe61bdf96124d2f1410a3810f77e4f29842365b965a778"",""independent_review"":""47b77c3e2aa382e66a7235fda68e792d622c0b9eba09be77e3323cb6b48cbc58""}","{""benchmark_manifest"":""8dfc11624fc8d9f774c73f30b6fc60c7be1c3f7a5ff502f6a1998c0fb8259fbf"",""frozen_commit"":""6f41abcfab7a9bdcf9140306acf74081a20d647f482e4fa03a236468e4dcc1da""}",true,"Strict candidate cbbv2_514c0d360fd5b2a4b5fe atomically frozen after all completion, compatibility, provenance, replay, leakage, and independent-review gates passed; no oracle or baseline reruns during recovery.",python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/finalize_strict_benchmark.py --stage freeze
STRICT_BENCHMARK_FREEZE_GATE,BCM_PREFLIGHT,2026-07-11T02:08:58Z,"{""frozen_commit"":""6f41abcfab7a9bdcf9140306acf74081a20d647f482e4fa03a236468e4dcc1da""}","{""input_manifest"":""3c2591393068442f52f8bf2697fe74d83319f8d0090b31d8efa5529a713127f2"",""preflight_checks"":""58c07b6bfd1c0bc2de34988a964de1969a43f1935c59b1372c2ce5336a6ea75d""}",true,BCM v2 public/evaluator interface audit passed; strict frozen commit bound; 347 binary cache observations; no abstains; planner public surfaces contain no labels/reference; zero physical VLM path.,python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage preflight
BCM_PREFLIGHT,BCM_BASELINE_DIAGNOSTIC,2026-07-11T02:09:34Z,"{""frozen_baseline_rankings"":""dbcd663cd0f704dd3d681146857aafd2737754305b95a4b764b22e96626470f9""}","{""baseline_diagnostic"":""fb3888dcbb8b427300b4a912e833fe341b4b33f0129450822debd586b88918a2""}",true,Read-only diagnostic identified low-budget unique pseudo-event discovery as the bottleneck; best frozen baseline AUC 0.389659 and current MAP/M1 AUC 0.388056. No baseline was rerun.,python3 Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py --stage preflight
BCM_BASELINE_DIAGNOSTIC,BCM_IMPLEMENTATION,2026-07-11T02:09:43Z,"{""mathematical_reference"":""c81a206068530b0f07b698b67c2daa7c69dd2d9e30b844451ef2551de12732f8""}","{""bcm_runner"":""9f97f9b5529dcc46231b7db7c4ecb88377274a560be693a073103509965e0a15""}",true,"Implemented public-only immutable hypothesis state, binary counterfactual branches, materialization-aware structural surrogate, deterministic query scoring, and strict OracleAccessor-mediated observation in isolated BCM v2 output.",python3 -m py_compile Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/bcm_aqp_experiment_v2/scripts/run_bcm_aqp_v2.py
