path,sha256,role
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/benchmark_lib.py,0a7a8ad4a13cc4404b0cfe7dfb1aef8958197267e22ff1df545ac4dbbf744610,authoritative materializer matcher evaluator
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/clean_baseline_benchmark_v2_strict/scripts/run_clean_benchmark_v2_strict.py,0f5a3b144dc13922ffd066e1beb4f69d89b8787aaa931b3606205b61b5903437,controlled replay and AUC semantics
BCM_AQP_MATHEMATICAL_REFERENCE.md,c058bf83b1fd1fbe096b38c6f4a62f827bcc8c3fc4c23c3c1536a65b21b78208,historical mathematical reference not modified
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/algorithmic_mechanism_viability_gate_v1/EXPERIMENT_MANIFEST.json,a05657461e68e881cc3d99f25f6e7c83b417fcf47b7b88f3ec001e5f40371f44,closed planner decision
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/public_event_cell_representation_gate_v1/FINAL_DECISION.csv,9e6f12ae189da7226e0cde73307fa13482461f5fbdf44d4abfc6b81a2ff9f2fa,closed representation decision
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/public_event_cell_representation_gate_v1/FILE_MANIFEST.csv,10bc852d4a57963fd275ce69b077538448b3df53f4b9bd243cdb270e83966a1a,sealed representation artifact manifest
src/garc_eval/bcem_gate_v1/core.py,0b7f05f11e3df6fd7f959a2f99a7ccd71d68853d76866846e3673ae114f8dfb4,current reproducible reference-free legal partition engine after interval-noncrossing correctness repair
src/garc_eval/bcem_gate_v1/ceiling.py,95671dd652c607895d9d944556188187b6086f426c45aefeb1609c9e073fbbd5,current reproducible evaluator-only exact ceiling with explicit infeasible-DAG error
src/garc_eval/bcem_gate_v1/public.py,b5d7aedfe3dc66eea5694a72e4995126203d90093e328d28dc48771efdd02a1f,frozen runnable reference-free public BCEM
src/garc_eval/bcem_gate_v1/run_ceiling.py,c436b8a9e522d1c4272e8bb902526a2cdcea8f4a50c67292958d02c97ecb2714,frozen fixed-trace ceiling orchestration
src/garc_eval/bcem_gate_v1/run_public.py,8613825ad93b566f236edbb409919729c7f289fa7f2f3598ae3b238a1a64c67f,current reproducible fixed-trace public replay orchestration and finite diagnostic representation
src/garc_eval/bcem_gate_v1/finalize.py,0058f2260e2fe76ab7d7d2872a69ca5a7caecbed089d25ed1f41c0ec5dd099ef,completion audit report and seal builder
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/barrier_constrained_event_materialization_gate_v1/tests/test_barrier_safety.py,e2900b73e3ef62c271e885d4426424ce050987fe46238e96baeb4d5789a89a94,queried-negative barrier overlapping-interval noncrossing and explicit infeasibility tests
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/barrier_constrained_event_materialization_gate_v1/tests/test_exact_dp_vs_bruteforce.py,bc687a3c3b63038354dfbcf2b7d55bb1b139396e63981a913242ca096dc9bf6d,random and predeclared exactness tests
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/barrier_constrained_event_materialization_gate_v1/tests/test_incremental_equivalence.py,50fa70fe51c06c96c0bf5041f6e8830c00584bdfc6194f298932ecc6ca132c90,incremental batch equivalence tests
Audited_Event_Hypothesis_AQP_Design_Pack_v1/agent_run/barrier_constrained_event_materialization_gate_v1/tests/test_legal_partitions.py,eb1e2b528f523f3dc130eec4d4eef63f3f6d1d96022ce278b128803d88ac5a33,legal partition property tests
