call_idx,unit_id,oracle_label_after_query,proxy_score,selection_reason
0,0,negative,1.0,sealed_label_blind_pstr_5_to_4
1,2,positive,1.0,sealed_label_blind_pstr_5_to_4
2,5,positive,1.0,sealed_label_blind_pstr_5_to_4
3,7,positive,1.0,sealed_label_blind_pstr_5_to_4
4,10,positive,1.0,sealed_label_blind_pstr_5_to_4
5,18,negative,1.0,sealed_label_blind_pstr_5_to_4
6,50,positive,1.0,sealed_label_blind_pstr_5_to_4
7,69,negative,1.0,sealed_label_blind_pstr_5_to_4
8,74,positive,1.0,sealed_label_blind_pstr_5_to_4
9,79,negative,1.0,sealed_label_blind_pstr_5_to_4
10,83,negative,1.0,sealed_label_blind_pstr_5_to_4
11,99,negative,1.0,sealed_label_blind_pstr_5_to_4
12,101,positive,1.0,sealed_label_blind_pstr_5_to_4
13,107,positive,1.0,sealed_label_blind_pstr_5_to_4
14,108,positive,1.0,sealed_label_blind_pstr_5_to_4
15,111,positive,1.0,sealed_label_blind_pstr_5_to_4
16,113,positive,1.0,sealed_label_blind_pstr_5_to_4
17,116,negative,1.0,sealed_label_blind_pstr_5_to_4
18,119,positive,1.0,sealed_label_blind_pstr_5_to_4
19,121,positive,1.0,sealed_label_blind_pstr_5_to_4
20,125,positive,1.0,sealed_label_blind_pstr_5_to_4
21,126,negative,1.0,sealed_label_blind_pstr_5_to_4
22,144,negative,1.0,sealed_label_blind_pstr_5_to_4
23,155,negative,1.0,sealed_label_blind_pstr_5_to_4
24,103,negative,0.983543,sealed_label_blind_pstr_5_to_4
25,147,negative,0.972969,sealed_label_blind_pstr_5_to_4
26,75,negative,0.972619,sealed_label_blind_pstr_5_to_4
27,70,positive,0.955252,sealed_label_blind_pstr_5_to_4
28,58,positive,0.942017,sealed_label_blind_pstr_5_to_4
29,53,positive,0.929342,sealed_label_blind_pstr_5_to_4
30,44,negative,0.921359,sealed_label_blind_pstr_5_to_4
31,45,negative,0.921359,sealed_label_blind_pstr_5_to_4
32,151,negative,0.916246,sealed_label_blind_pstr_5_to_4
33,40,negative,0.903011,sealed_label_blind_pstr_5_to_4
34,37,negative,0.867787,sealed_label_blind_pstr_5_to_4
35,149,negative,0.861555,sealed_label_blind_pstr_5_to_4
36,55,positive,0.846359,sealed_label_blind_pstr_5_to_4
37,96,negative,0.829902,sealed_label_blind_pstr_5_to_4
38,82,negative,0.82612,sealed_label_blind_pstr_5_to_4
39,63,negative,0.817157,sealed_label_blind_pstr_5_to_4
40,89,negative,0.814076,sealed_label_blind_pstr_5_to_4
41,62,negative,0.804622,sealed_label_blind_pstr_5_to_4
42,48,negative,0.754482,sealed_label_blind_pstr_5_to_4
43,36,negative,0.747479,sealed_label_blind_pstr_5_to_4
44,94,negative,0.65049,sealed_label_blind_pstr_5_to_4
45,33,negative,0.636064,sealed_label_blind_pstr_5_to_4
46,137,negative,0.635854,sealed_label_blind_pstr_5_to_4
47,141,negative,0.617087,sealed_label_blind_pstr_5_to_4
48,22,negative,0.611345,sealed_label_blind_pstr_5_to_4
49,92,positive,0.607003,sealed_label_blind_pstr_5_to_4
