video_id,query_id,unit_id,start_time,end_time,label,provenance,source_record_sha256,protocol_hash
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0000,0.0,10.0,not_relevant,V10_ADMISSIBLE_V9,7e7e8cbf50edd7482d5a6062bfead1948c5c7b0fb9f3a080e7fe9e791b916651,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0001,10.0,20.0,not_relevant,V10_ADMISSIBLE_V9,d75bdf10027266810fa69677217f7c906cbff5f451643eebc9bc8dd001c25f19,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0002,20.0,30.0,not_relevant,V10_ADMISSIBLE_V9,a01a5c5d2e735a83895fa5aed4355f7b6ad779b43464e21ddeedd8d5320756e8,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0003,30.0,40.0,not_relevant,V10_ADMISSIBLE_V9,553b08a26762e2bf7140381799ffbd069c5df02621ecff8f25e29ff9da53fe9c,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0004,40.0,50.0,not_relevant,V10_ADMISSIBLE_V9,d487684261f8804bf9acb1f6277dfa5eb6e20ceeb30fd2ebfa7b8f6d1b5e10c8,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0005,50.0,60.0,not_relevant,V10_ADMISSIBLE_V9,5dc366e54468165d269f36ca4032f8f0500b893115bc500f8abcccafc7fb2f0a,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0006,60.0,70.0,relevant,V10_ADMISSIBLE_V9,9be41f5ae4fbe86db1e5b22e336136f8c8ac6b748b141b75ce77f66bf57144e6,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0007,70.0,80.0,not_relevant,V10_ADMISSIBLE_V9,610c1bde7f56dc8668ed8163df3582bcebae888965243785dcc7e9e97a50af24,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0008,80.0,90.0,not_relevant,V10_ADMISSIBLE_V9,44d9c8c07d890193792ec0d2d7ff36837ab11c0e473503a372baa8ca3ca127c0,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0009,90.0,100.0,not_relevant,V10_ADMISSIBLE_V9,54c9025350e1a68387432da93d4bc14ffa92339caa8178efc69ad9ea40c76f59,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0010,100.0,110.0,not_relevant,V10_ADMISSIBLE_V9,6378bdc2bef352b1723e403abfeaa845e9d32fa85d9c78e78ecef4d7f284a07c,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0011,110.0,120.0,not_relevant,V10_ADMISSIBLE_V9,fefb4a443ca15b68791dbecbe66861260ca8317949fb8028f30e3e4aa20e4324,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0012,120.0,130.0,not_relevant,V10_ADMISSIBLE_V9,4e742120d3a494e6aed654e64fcac3068db0fbf06674a0038df9585e541902be,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0013,130.0,140.0,relevant,V10_ADMISSIBLE_V9,f43eefcf73ecfc175a91547be996798fb1a307aa5571242fcf2c59a7841c81c5,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0014,140.0,150.0,not_relevant,V10_ADMISSIBLE_V9,9e95cd025f159583261244fa3dec6255dd323382a8819f7508e3c27dafd75d51,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0015,150.0,160.0,not_relevant,V10_ADMISSIBLE_V9,a628a5e120f53fbe968d9b72db6a96498266ac88fea04632a57df7234ce94d49,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0016,160.0,170.0,not_relevant,V10_ADMISSIBLE_V9,d7707fe4bd1b80c297758d7d92d0bf990601e555822d16f362ee34021c7f8328,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0017,170.0,180.0,not_relevant,V10_ADMISSIBLE_V9,21a7533184250e1961637891163b5d7177a736e515997496c676fb69645d481b,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0018,180.0,190.0,not_relevant,V10_ADMISSIBLE_V9,32738a39056133499219b270a14ccc2fa34265fb8d392f606d613589c47787fc,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0019,190.0,200.0,not_relevant,V10_ADMISSIBLE_V9,28f66ebc805ce23a1a05e1a0793beb1fdd8bfa7f7d1e20b5f125bb037170ab55,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0020,200.0,210.0,not_relevant,V10_ADMISSIBLE_V9,c05021822877bcf09379173b260d957c78208bec1eb796d2d1dabf7e4aaee76e,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0021,210.0,220.0,not_relevant,V10_ADMISSIBLE_V9,deadbddddfc1480557538a8080e5d267eff9efff362dd096f75ec6ed6d795c13,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0022,220.0,230.0,not_relevant,V10_ADMISSIBLE_V9,56fa9575ed99d25429d0eedde9e7423e59ea7ce5c13e2368b13f4fbd5b037700,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0023,230.0,240.0,not_relevant,V10_ADMISSIBLE_V9,673e786e836ef22f43a24a15d994e1e28d78d746044c3e922348e7c3e1621091,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0024,240.0,250.0,not_relevant,V10_ADMISSIBLE_V9,c4990b3ff8d2ecf3d3933872f5d99e398fe008c7f9cc147a973d1e34f8c6c12b,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
DALI,Q_DRIVER_RESPONSE_V1,DALI_u0025,250.0,260.0,relevant,V10_ADMISSIBLE_V9,cc354bc54032cc4f67f94c8e815b1507d971eeb9dc31677ee4e3698f447dc680,83e61dd3fca0ef6709594e439df9e99651de7a341b5ff8bb0255bfb7f3adcd75
