probe_id,vlm_label,vlm_rationale,human_label,agree_or_disagree
probe_set_v1_0001,negative,"The center frame and contact sheet show a clear, unobstructed view of the road ahead with vehicles traveling in the same direction, maintaining consistent lanes. No pedestrian, cyclist, or other traffic participant is seen entering, crossing, or approaching the ego vehicle's path. The traffic flow is orderly, and no near-interaction events are visually evident within the provided time window.",,
probe_set_v1_0002,negative,"The center frame and contact sheet show a steady traffic scene with vehicles moving forward in lanes. No vehicle or object is observed entering, crossing, or approaching the ego vehicle's path in a way that creates a near-interaction. All vehicles remain in their respective lanes, and no sudden maneuvers or encroachments are visible. The traffic flow appears normal and stable throughout the time window.",,
probe_set_v1_0004,point_anchor,"In the center frame and adjacent frames of the contact sheet, a person in a red jacket and white cap is visible on the right sidewalk, bending over near the curb. This individual appears to be engaged in cleaning or maintenance work, positioned very close to the edge of the roadway. While not actively crossing or entering the path, their proximity to the curb and the ego vehicle's trajectory creates a near-interaction scenario. The event is localized to a brief moment within the time window, as the person remains in place and does not move into the road. The contact sheet shows the person present in multiple frames, indicating a sustained but static near-interaction.",,
probe_set_v1_0008,negative,"The contact sheet and center frame show consistent forward motion on a multi-lane urban road with no vehicles, pedestrians, or objects entering, crossing, or approaching the ego vehicle's path. Traffic flows normally, and no near-interactions are visible. The scene remains stable without any dynamic intrusion into the ego lane or path.",,
probe_set_v1_0011,negative,"The center frame and contact sheet show a consistent urban driving scene with vehicles traveling in the same direction on a multi-lane road. No traffic participant or object is observed entering, crossing, approaching, or creating a near-interaction with the ego vehicle's path. The white car ahead remains in the same lane, and no lateral or crossing movements are visible. The bus stop on the right has stationary pedestrians, none of whom enter the roadway. The scene remains stable throughout the time window.",,
probe_set_v1_0014,negative,"The center frame and contact sheet show a stable traffic scene with multiple vehicles stopped at a red light. No vehicle or object is observed entering, crossing, or approaching the ego vehicle's path. All vehicles remain in their lanes without lateral movement or near-interaction with the ego vehicle's trajectory. The scene is static and consistent across frames, indicating no target event occurred.",,
probe_set_v1_0015,negative,"The center frame and contact sheet show a clear, unobstructed view of the road ahead with multiple vehicles traveling in the same direction, maintaining consistent lanes. No pedestrian, cyclist, or other object is seen entering, crossing, or approaching the ego vehicle's path. The traffic flow is steady, and no near-interaction is visually evident in any of the frames.",,
probe_set_v1_0017,negative,"The center frame and contact sheet show a clear, unobstructed view of the road under an overpass with no vehicles, pedestrians, or objects entering, crossing, or approaching the ego vehicle's path. Traffic is sparse and distant, with no visible interaction or near-interaction with the ego vehicle's trajectory. The scene remains static and safe throughout the time window.",,
probe_set_v1_0019,true_interval,"The contact sheet shows multiple vehicles, including black and white cars, actively crossing the intersection in front of the ego vehicle's path during the time window. These vehicles are clearly visible traversing the crosswalk and entering the ego vehicle's lane of travel, constituting a near-interaction with the ego path. The center frame shows the intersection empty, but the contact sheet frames confirm the presence and movement of traffic participants across the path.",,
probe_set_v1_0020,negative,"The center frame and contact sheet show a stable traffic scene with vehicles (including a bus and a sedan) traveling in their respective lanes ahead of the ego vehicle. No object enters, crosses, or approaches the ego vehicle's path. The road is clear, and all traffic participants maintain consistent lanes without any near-interaction or path intrusion. The blue lane guidance sign indicates lane selection, but no dynamic event occurs within the time window.",,
probe_set_v1_0023,negative,"The contact sheet and center frame show consistent forward motion under an overpass with multiple vehicles ahead in the same direction. No vehicle, pedestrian, or object is observed entering, crossing, or approaching the ego vehicle's path. Traffic flow appears stable and predictable, with no near-interaction events visible in the provided frames.",,
probe_set_v1_0024,negative,"The contact sheet and center frame show consistent forward motion under an overpass with multiple lanes. Vehicles are present in adjacent lanes and ahead, but none are observed entering, crossing, or approaching the ego vehicle's path in a way that creates a near-interaction. The right-side parked vehicles and a motorcyclist remain stationary or move parallel without encroaching on the ego lane. No dynamic interaction with the ego vehicle's trajectory is visually evident.",,
