call_idx,unit_id,oracle_label_after_query
0,111,positive
1,2,negative
2,112,negative
3,110,negative
4,107,negative
5,102,negative
6,105,negative
7,103,negative
8,39,positive
9,17,negative
10,4,positive
11,43,negative
12,15,negative
13,104,negative
14,118,negative
15,93,negative
16,106,positive
17,11,negative
18,92,negative
19,87,positive
20,12,positive
21,88,positive
22,59,negative
23,31,negative
24,100,negative
25,86,positive
26,119,negative
27,28,negative
28,14,negative
29,81,positive
30,30,negative
31,85,positive
32,84,positive
33,82,negative
34,24,negative
35,80,negative
36,91,negative
37,83,positive
38,19,negative
39,77,positive
40,79,positive
41,78,negative
42,54,negative
43,89,negative
44,66,negative
45,115,negative
46,109,negative
47,90,negative
48,76,positive
49,42,negative
