call_idx,unit_id,oracle_label_after_query
0,114,negative
1,344,negative
2,184,negative
3,42,negative
4,345,negative
5,342,negative
6,341,negative
7,339,negative
8,330,negative
9,49,negative
10,110,negative
11,332,negative
12,48,negative
13,337,negative
14,334,negative
15,104,negative
16,328,negative
17,129,positive
18,329,negative
19,335,negative
20,336,negative
21,346,negative
22,191,negative
23,100,negative
24,333,negative
25,109,negative
26,315,negative
27,317,positive
28,321,negative
29,314,negative
30,323,negative
31,319,negative
32,322,positive
33,117,negative
34,320,negative
35,307,negative
36,306,negative
37,305,negative
38,302,negative
39,13,negative
40,300,negative
41,298,negative
42,308,negative
43,301,negative
44,296,positive
45,105,negative
46,102,negative
47,297,positive
48,295,negative
49,288,negative
50,79,negative
51,299,negative
52,118,negative
53,9,negative
54,290,negative
55,291,negative
56,292,negative
57,289,negative
58,283,positive
59,47,negative
60,303,negative
61,309,negative
62,282,negative
63,324,negative
64,127,negative
65,310,negative
66,338,negative
67,112,negative
68,88,negative
69,284,negative
70,311,negative
71,325,positive
72,41,negative
73,326,negative
74,304,negative
75,279,negative
76,280,negative
77,276,positive
78,278,negative
79,277,negative
