claim_id,claim,project_ledger_status,independent_status,independent_evidence_basis,key_confound,disposition,independent_note
C-A,Proxy imperfection creates meaningful query-optimization work,PARTIALLY SUPPORTED,PARTIALLY SUPPORTED,"Ranking degradation low-budget median EventF1 gap 0.0951; exposure gap 0.0; AUPRC 0.2584-0.3146","Exposure recall forced 1.0; model-relative reference; query-count budget","CONFIRM_WITH_NARROWING","True but ranking-only; 'meaningful' is relative to a K3-defined metric; no natural exposure-miss evidence"
C-B,True costly/incomplete SCAN benefits from state-dependent SCAN/VERIFY allocation,NOT ESTABLISHED,NOT ESTABLISHED,"108-state cached audit: 5 beneficial / 5 harmful / 98 indifferent; SCAN=release stored rows; abstract costs; fixed continuation","No online sensing, endogenous candidates, natural prevalence, measured costs, or human utility","CONFIRM","Also emphasize: load-bearing assumption (natural exposure FN) is masked, not falsified"
C-C,Event-aware acquisition is more robust to proxy error than positive-yield maximization,NOT ESTABLISHED,NOT ESTABLISHED,"Worst-case props 15.1/15.2 motivate; model-relative geometry R2 0.795; VLM shadow MAE gain 0.000665; P2 semantic-state residual ABSENT","No independent-human equal-yield result; shadow low agreement; reference circularity","CONFIRM","For the model-relative version, shadow+P2 lean DISFAVORED; human version fully untested"
C-D,More resources improve quality,PARTIALLY SUPPORTED,PARTIALLY SUPPORTED,"Nested-policy monotonicity violation 0.48%; near-monotone EventF1 in oracle-call budget","Query-call not physical wall-clock; no hard-deadline evidence","CONFIRM","Oracle-call budget result only"
C-E,Explicit materialization affects sparse semantic EventRelation recovery,PARTIALLY SUPPORTED,PARTIALLY SUPPORTED,"54/54 controlled pairs; K3 better/equal/worse 40/14/0; median Delta F1 +0.1457; 3 videos x 3 selectors","K3-defined model-relative reference (circularity-qualified); query-budget replay","CONFIRM","Robust conditional reconstruction, not human boundary truth"
C-F,Complex K3 mechanisms are needed for the observed materialization gain,NO-GO / CLOSED,FALSIFIED / CLOSED,"Mechanism ablation: gap median +0.1377; duration +0.0; barrier +0.0; extras -0.0003","Same-trace ablation; K3-reference","CONFIRM","Gap-only C1 explains nearly all gain; complex-K3 novelty is dead"
C-G,A learned dynamic SCAN/VERIFY controller is needed on the current substrate,NO-GO / CLOSED,NO-GO / CLOSED,"Learned regret 0.009693 vs fixed always-VERIFY 0.000885; 0/18 immediate positives; 1/7 continuation conversions","Abstract costs; two source videos; sampled not prevalence states","CONFIRM","Substrate-bounded; NOT a universal impossibility of adaptive allocation"
C-H,Fixed SCAN1-to-VERIFY1 is a strong current default,PARTIALLY SUPPORTED,PARTIALLY SUPPORTED,"Mean anytime recall AUC 0.13323 vs dynamic V3 0.12228 (cached study)","Abstract costs; older reference; not physical","CONFIRM","Bounded default, not universal optimum"
C-I,number_of_temporal_regions_touched is a robust universal event-utility surrogate,DISFAVORED / WEAKENED,DISFAVORED / WEAKENED,"Old model-relative within-stratum Spearman 1.0 vs VLM shadow: 2/6 positive clusters; macro coverage +0.003193","Shadow same-checkpoint low agreement; C1-threshold feature proximity","CONFIRM","Not a universal surrogate"
C-J,Generic relevance+coverage/MMR explains or improves current policy performance,DISFAVORED / WEAKENED,DISFAVORED_AS_IMPROVEMENT_SUPPORTED_AS_EXPLANATION,"P2: canonical median Delta F1 0.0 (95% CI -0.0136 to 0.0223); equal-yield Delta 0.0; semantic-state residual ABSENT","Ran before human P1; model-relative only","REFINE","As an improvement claim it fails; as the leading competing EXPLANATION of StaticProxyRank it is the best-supported H0"
C-K,Endogenous SCAN adaptation works,NOT ESTABLISHED,NOT ESTABLISHED,"Only reduced cached substrate and selected physical probes; no faithful endogenous substrate","No faithful endogenous SCAN substrate exists","CONFIRM","Untested at the level the theory requires"
