call_idx,unit_id,oracle_label_after_query
0,63,negative
1,44,negative
2,111,positive
3,33,negative
4,117,negative
5,112,negative
6,42,negative
7,113,negative
8,110,negative
9,107,negative
10,102,negative
11,76,positive
12,118,negative
13,32,positive
14,8,negative
15,11,negative
16,43,negative
17,105,negative
18,103,negative
19,39,positive
20,3,positive
21,60,negative
22,114,negative
23,27,negative
24,104,negative
25,7,positive
26,65,negative
27,93,negative
28,92,negative
29,87,positive
30,88,positive
31,45,negative
32,13,negative
33,86,positive
34,81,positive
35,23,negative
36,85,positive
37,84,positive
38,82,negative
39,80,negative
40,16,negative
41,91,negative
42,83,positive
43,12,positive
44,15,negative
45,57,negative
46,64,negative
47,9,positive
48,79,positive
49,78,negative
