experiment_dir,dataset,budget,split_description,positive_budget_ratio,mean_R_lower_gap,std_gap,standard_error,CI95_lower,CI95_upper,source_file
strategy7_certificate_power_v1,dataset3_clean_pool,20,70%L3_20%S7_10%uniform,0.30/0.70,-0.002128,0.007,0.00031,-0.002736,-0.001520,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,dataset3_clean_pool,40,70%L3_20%S7_10%uniform,0.30/0.70,+0.010161,0.044,0.00197,+0.006300,+0.014022,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,dataset3_clean_pool,60,70%L3_20%S7_10%uniform,0.30/0.70,+0.025589,0.053,0.00237,+0.020944,+0.030234,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,dataset3_clean_pool,80,70%L3_20%S7_10%uniform,0.30/0.70,+0.028429,0.054,0.00242,+0.023686,+0.033172,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,dataset3_clean_pool,100,70%L3_20%S7_10%uniform,0.30/0.70,0.000,0.000,0.000,0.000,0.000,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,realcartest_v13,20,70%L3_20%S7_10%uniform,0.30/0.70,-0.014714,0.008,0.00036,-0.015420,-0.014008,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,realcartest_v13,40,70%L3_20%S7_10%uniform,0.30/0.70,-0.034536,0.018,0.00080,-0.036104,-0.032968,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,realcartest_v13,60,70%L3_20%S7_10%uniform,0.30/0.70,-0.051728,0.039,0.00174,-0.055139,-0.048317,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,realcartest_v13,80,70%L3_20%S7_10%uniform,0.30/0.70,-0.049915,0.036,0.00161,-0.053073,-0.046757,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,realcartest_v13,100,70%L3_20%S7_10%uniform,0.30/0.70,-0.057077,0.026,0.00116,-0.059351,-0.054803,certificate_power_seed_traces.csv
strategy7_certificate_power_v1,realcartest_v13,150,70%L3_20%S7_10%uniform,0.30/0.70,-0.055298,0.015,0.00067,-0.056611,-0.053985,certificate_power_seed_traces.csv
strategy7_budget_split_sweep_v1,realcartest_v13,60,L350_S710_U40 (50%L3_10%S7_40%uniform),0.50/0.50,+0.043495,0.016,0.00072,+0.042084,+0.044906,budget_split_seed_traces.csv
strategy7_budget_split_sweep_v1,realcartest_v13,60,L350_S720_U30 (50%L3_20%S7_30%uniform),0.50/0.50,+0.036628,0.017,0.00076,+0.035138,+0.038118,budget_split_seed_traces.csv
strategy7_budget_split_sweep_v1,realcartest_v13,60,L350_S730_U20 (50%L3_30%S7_20%uniform),0.50/0.50,+0.027356,0.019,0.00085,+0.025690,+0.029022,budget_split_seed_traces.csv
strategy7_budget_split_sweep_v1,realcartest_v13,60,L350_S740_U10 (50%L3_40%S7_10%uniform),0.50/0.50,+0.007128,0.025,0.00112,+0.004933,+0.009323,budget_split_seed_traces.csv
NOTE,"All gaps are computed as split_mean_R_lower minus baseline (L370_S700_U30) mean_R_lower at the same B and dataset. Baseline represents the original 70% L3, 0% S7, 30% uniform split.",,,,,,,,
NOTE,"Paired t-test p-values not computed because seeds are independent across policies (not paired - each policy draws its own seeds). Bootstrap CI recommended but not implemented in existing report.",,,,,,,,
