call_idx,unit_id,oracle_label_after_query
0,344,negative
1,7,negative
2,345,negative
3,342,negative
4,341,negative
5,339,negative
6,330,negative
7,332,negative
8,103,negative
9,46,negative
10,9,negative
11,105,negative
12,44,negative
13,337,negative
14,343,negative
15,334,negative
16,190,negative
17,42,negative
18,328,negative
19,329,negative
20,43,negative
21,335,negative
22,113,negative
23,102,negative
24,185,positive
25,336,negative
26,346,negative
27,88,negative
28,45,negative
29,333,negative
30,101,negative
31,315,negative
32,317,positive
33,321,negative
34,100,negative
35,314,negative
36,323,negative
37,319,negative
38,79,negative
39,311,negative
40,322,positive
41,320,negative
42,114,negative
43,307,negative
44,308,negative
45,338,negative
46,326,negative
47,306,negative
48,305,negative
49,112,negative
