scope,domain,video_id,query_id,budget,arc_event_precision,current_event_precision,delta_arc_minus_current_event_precision,arc_event_recall,current_event_recall,delta_arc_minus_current_event_recall,arc_event_f1,current_event_f1,delta_arc_minus_current_event_f1,arc_tiou_03,current_tiou_03,delta_arc_minus_current_tiou_03,arc_tiou_05,current_tiou_05,delta_arc_minus_current_tiou_05,arc_matched_mean_iou,current_matched_mean_iou,delta_arc_minus_current_matched_mean_iou,arc_verified_positive_units,current_verified_positive_units,delta_arc_minus_current_verified_positive_units,arc_verified_event_count,current_verified_event_count,delta_arc_minus_current_verified_event_count,arc_verified_event_yield,current_verified_event_yield,delta_arc_minus_current_verified_event_yield,arc_logical_oracle_calls,current_logical_oracle_calls,delta_arc_minus_current_logical_oracle_calls,arc_returned_event_count,current_returned_event_count,delta_arc_minus_current_returned_event_count,arc_overmerge,current_overmerge,delta_arc_minus_current_overmerge,arc_oversplit,current_oversplit,delta_arc_minus_current_oversplit,f1_outcome
task_seed_average,dataset3_development,long_video_dataset3,dataset3_development:frozen_relevance_predicate,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie
task_seed_average,dataset3_development,long_video_dataset3,dataset3_development:frozen_relevance_predicate,10,0.2,0.0,0.2,0.007692307692307693,0.0,0.007692307692307693,0.014814814814814814,0.0,0.014814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.01400000000000091,0.0,0.01400000000000091,0.2,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.02,10.0,10.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,ARC wins
task_seed_average,dataset3_development,long_video_dataset3,dataset3_development:frozen_relevance_predicate,20,0.6,1.0,-0.4,0.03076923076923077,0.15384615384615385,-0.12307692307692308,0.05820105820105821,0.2666666666666667,-0.20846560846560852,0.0,0.0,0.0,0.0,0.0,0.0,0.03150000000000204,0.0659789343246558,-0.034478934324653765,0.8,4.0,-3.2,0.8,4.0,-3.2,0.04,0.2,-0.16,20.0,20.0,0.0,0.8,4.0,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,ARC loses
task_seed_average,dataset3_development,long_video_dataset3,dataset3_development:frozen_relevance_predicate,50,1.0,0.8571428571428571,0.1428571428571429,0.12307692307692308,0.23076923076923078,-0.1076923076923077,0.21799671592775044,0.36363636363636365,-0.1456396477086132,0.007692307692307693,0.0,0.007692307692307693,0.007692307692307693,0.0,0.007692307692307693,0.08624999999999053,0.06731928954976447,0.018930710450226054,3.4,7.0,-3.6,3.2,7.0,-3.8,0.064,0.14,-0.07600000000000001,50.0,50.0,0.0,3.2,7.0,-3.8,0.0,0.0,0.0,0.0,1.0,-1.0,ARC loses
task_seed_average,dataset3_development,long_video_dataset3,dataset3_development:frozen_relevance_predicate,80,1.0,0.8461538461538461,0.15384615384615385,0.2230769230769231,0.4230769230769231,-0.19999999999999998,0.363880742913001,0.5641025641025641,-0.2002218211895631,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.1579050289274479,0.14713592514098994,0.010769103786457956,6.6,13.0,-6.4,5.8,13.0,-7.2,0.0725,0.1625,-0.09000000000000001,80.0,80.0,0.0,5.8,13.0,-7.2,0.0,0.0,0.0,0.0,2.0,-2.0,ARC loses
task_seed_average,dataset3_development,long_video_dataset3,dataset3_development:frozen_relevance_predicate,100,1.0,0.9166666666666666,0.08333333333333337,0.27692307692307694,0.4230769230769231,-0.14615384615384613,0.4335115864527629,0.5789473684210527,-0.14543578196828977,0.046153846153846156,0.038461538461538464,0.007692307692307693,0.046153846153846156,0.038461538461538464,0.007692307692307693,0.15238234312415386,0.1252574067815596,0.027124936342594247,8.2,15.0,-6.800000000000001,7.2,12.0,-4.8,0.07200000000000001,0.12,-0.04799999999999999,100.0,100.0,0.0,7.2,12.0,-4.8,0.0,0.0,0.0,0.0,1.0,-1.0,ARC loses
task_seed_average,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,5,0.0,1.0,-1.0,0.0,0.1,-0.1,0.0,0.18181818181818182,-0.18181818181818182,0.0,0.05,-0.05,0.0,0.0,0.0,0.0,0.20056291390728398,-0.20056291390728398,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.4,-0.4,0.6,5.0,-4.4,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,ARC loses
task_seed_average,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,10,0.0,1.0,-1.0,0.0,0.15,-0.15,0.0,0.2608695652173913,-0.2608695652173913,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.2947392050847268,-0.2947392050847268,0.0,3.0,-3.0,0.0,3.0,-3.0,0.0,0.3,-0.3,0.6,10.0,-9.4,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,ARC loses
task_seed_average,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,20,0.0,1.0,-1.0,0.0,0.35,-0.35,0.0,0.5185185185185185,-0.5185185185185185,0.0,0.05,-0.05,0.0,0.0,0.0,0.0,0.12398757001280132,-0.12398757001280132,0.0,7.0,-7.0,0.0,7.0,-7.0,0.0,0.35,-0.35,0.6,20.0,-19.4,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,ARC loses
task_seed_average,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,50,0.0,0.7222222222222222,-0.7222222222222222,0.0,0.65,-0.65,0.0,0.6842105263157895,-0.6842105263157895,0.0,0.1,-0.1,0.0,0.05,-0.05,0.0,0.17811427511535086,-0.17811427511535086,0.0,19.0,-19.0,0.0,18.0,-18.0,0.0,0.36,-0.36,0.6,50.0,-49.4,0.0,18.0,-18.0,0.0,0.0,0.0,0.0,5.0,-5.0,ARC loses
task_seed_average,realcartest_0_1570,realcartest,realcartest_0_1570:frozen_relevance_predicate,80,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.7,-0.7,0.0,0.6829268292682926,-0.6829268292682926,0.0,0.3,-0.3,0.0,0.05,-0.05,0.0,0.23678654435080643,-0.23678654435080643,0.0,26.0,-26.0,0.0,21.0,-21.0,0.0,0.2625,-0.2625,0.6,80.0,-79.4,0.0,21.0,-21.0,0.0,0.0,0.0,0.0,7.0,-7.0,ARC loses
