claim_id,claim,theory_status,empirical_status,scope,main_evidence,main_confound,next_gate
C-A,"Proxy imperfection creates meaningful query-optimization work",WELL_DEFINED,PARTIALLY SUPPORTED,"Natural ranking degradation on a fully precomputed one-candidate-per-unit model-relative substrate","outputs/original_theory_identifiability_audit_v1/FINAL_IDENTIFIABILITY_REPORT.md; outputs/main_thesis_alignment_v1/FINAL_ALIGNMENT_REPORT.md","Natural exposure misses and independent-human event utility are absent",NONE
C-B,"True costly/incomplete SCAN benefits from state-dependent SCAN/VERIFY allocation",PLAUSIBLE_NOT_PROVED,NOT ESTABLISHED,"Cached one-step deviations with delayed visibility, abstract costs, and fixed continuation","outputs/original_theory_identifiability_audit_v1/FINAL_IDENTIFIABILITY_REPORT.md","No online sensing, endogenous candidates, natural state prevalence, measured costs, or human utility",P4
C-C,"Event-aware acquisition is more robust to proxy error than positive-yield maximization",STRONG_MOTIVATION,NOT ESTABLISHED,"Worst-case theory plus model-relative diagnostics","outputs/original_theory_identifiability_audit_v1/FINAL_IDENTIFIABILITY_REPORT.md; outputs/event_evidence_geometry_v1/EVENT_EVIDENCE_GEOMETRY_DECISION.md","No independent-human equal-yield result; shadow is weak and ontology-noisy",P1
C-D,"More resources improve quality",EXPECTED,PARTIALLY SUPPORTED,"Nested oracle-call/query-count traces","outputs/main_thesis_alignment_v1/FINAL_ALIGNMENT_REPORT.md","Not physical wall-clock or hard-deadline monotonicity",FUTURE_PHYSICAL_ONLY_IF_AUTHORIZED
C-E,"Explicit materialization affects sparse semantic EventRelation recovery",MOTIVATED,PARTIALLY SUPPORTED,"54 controlled K3/K0 cached model-relative pairs; median Delta F1 +0.1457","outputs/p0_materializer_validation_v3/FINAL_RESEARCH_REPORT.md","K3-defined model-relative reference and query-budget replay",HUMAN_ANALYSIS
C-F,"Complex K3 mechanisms are needed for the observed materialization gain",WEAK,NO-GO / CLOSED,"Same-trace mechanism ablation","outputs/p0_materializer_mechanism_ablation_v1/MECHANISM_REPORT.md","Gap-only C1 explains nearly all measured gain",CLOSED
C-G,"A learned dynamic SCAN/VERIFY controller is needed on the current substrate",PLAUSIBLE,NO-GO / CLOSED,"108-state predictability audit and physical counterfactual probes","outputs/public_state_predictability_cached_v3/SUMMARY.json; MAB_RESEARCH_DIRECTION_DECISION.md","Current substrate is partial, so this is not a universal impossibility",P4_THEN_P5_REOPEN_ONLY
C-H,"Fixed SCAN1-to-VERIFY1 is a strong current default",SIMPLE_BASELINE,PARTIALLY SUPPORTED,"Cached sequential study; mean anytime recall AUC 0.13323","RC_SEM_PACKAGE_MANIFEST.json","Not a universal optimum; different references and abstract costs",P4_COMPARATOR_IF_AUTHORIZED
C-I,"number_of_temporal_regions_touched is a robust universal event-utility surrogate",HEURISTIC,DISFAVORED / WEAKENED,"Old model-relative association versus VLM-direct shadow","outputs/event_evidence_geometry_v1/EVENT_EVIDENCE_GEOMETRY_DECISION.md; outputs/p1_shadow_vlm_direct_reference_v1/FINAL_SHADOW_REPORT.md","Shadow ontology has low agreement and same-checkpoint dependence",P1
C-J,"Generic relevance+coverage/MMR explains or improves current model-relative policy performance",GENERIC_KILLER_BASELINE,DISFAVORED / WEAKENED,"Completed model-relative diagnostic: median Delta F1 0.0; semantic-state residual absent","outputs/p2_query_policy_novelty_killer_v1/FINAL_P2_REPORT.md","Executed without resolved human P1; model-relative only",FORMAL_POST_P1_GATE_ONLY
C-K,"Endogenous SCAN adaptation works",PLAUSIBLE,NOT ESTABLISHED,"Only reduced cached substrate and selected physical probes exist","outputs/original_theory_identifiability_audit_v1/ACTION_SPACE_IDENTIFIABILITY.md","No faithful endogenous SCAN substrate",P4
