run_id,method,budget,video_id,segment_id,start_frame,end_frame,start_time,end_time,segment_score,verification_state,oracle_calls,source_frame_ids,source_method,source_method_config,source_run_dir,stage0_5_variant
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,0,400,699,40.0,70.0,0.29858178981471667,confirmed_anchor_selected_proxy_expand,50,4|5|6,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,1,1200,1299,120.0,130.0,0.3507529698913206,confirmed_anchor_selected_proxy_expand,50,12,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,2,3800,3999,380.0,400.0,0.3057345168207979,confirmed_anchor_selected_proxy_expand,50,38|39,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,3,4800,5199,480.0,520.0,0.4060050983903223,confirmed_anchor_selected_proxy_expand,50,48|49|50|51,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,4,5600,5799,560.0,580.0,0.3505346672549349,confirmed_anchor_selected_proxy_expand,50,56|57,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,5,6900,7199,690.0,720.0,0.3672339661614285,confirmed_anchor_selected_proxy_expand,50,69|70|71,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,6,8100,8499,810.0,850.0,0.4188877993471394,confirmed_anchor_selected_proxy_expand,50,81|82|83|84,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,7,8400,8999,840.0,900.0,0.4500481403630361,confirmed_anchor_selected_proxy_expand,50,84|85|86|87|88|89,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,8,9700,9899,970.0,990.0,0.35490365538316904,confirmed_anchor_selected_proxy_expand,50,97|98,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
repaired_selected_expand_b50_s4,repaired_selected_expand,50,realcartest,9,10600,10699,1060.0,1070.0,0.379637015441183,confirmed_anchor_selected_proxy_expand,50,106,ABae-stratified-confirmed,ABae-stratified-confirmed,outputs/ours_vs_baselines_realcartest_v1/baseline_outputs/ABae_stratified_confirmed_b50_s4,common_materializer_selected_expand
