source_dataset,session_id,source_sha256,model_split_role,video_id,query_id,unit_id,track_id,class_id,observations,track_persistence,path_directed_lateral_motion,box_growth,front_region_occupancy,approximate_ttc_urgency,lane_relative_motion,boundary_crossing,ego_corridor_overlap,road_geometry_reliability,track_persistence_normalized,path_directed_lateral_motion_normalized,box_growth_normalized,front_region_occupancy_normalized,approximate_ttc_urgency_normalized,candidate_score,verification_key,label_scope,witness_track_id,opportunity_id
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,1,2,49,49.0,0.07723176479339594,0.5081137775722233,0.38113625647339283,0.25695021243661725,0.0,0.0,0.0,0.0,0.9719101123595506,0.7547169811320755,0.4067796610169492,0.7,0.4166666666666667,0.6500146842350485,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,1,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:1
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,2,7,41,41.0,0.018258333206176706,0.16229614553869298,0.406250879238202,0.09474752965497824,0.0,0.0,0.0,0.0,0.9325842696629213,0.32075471698113206,0.05084745762711865,0.75,0.06666666666666667,0.42417062218756785,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,2,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:2
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,3,2,49,49.0,0.005615472793579213,0.3762521151367003,0.4466810117212459,0.18609677485082435,0.0,0.0,0.0,0.0,0.9719101123595506,0.1509433962264151,0.3050847457627119,0.8833333333333333,0.3333333333333333,0.5289209842030689,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,3,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:3
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,4,7,3,3.0,0.13811475038528448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37640449438202245,0.9245283018867925,0.0,0.0,0.0,0.260186559253763,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,4,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:4
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,5,2,17,17.0,0.14228066802024847,0.0,0.224949111232547,0.0,0.0,0.0,0.0,0.0,0.7191011235955056,0.9433962264150944,0.0,0.36666666666666664,0.0,0.4058328033354533,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,5,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:5
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,6,2,37,37.0,0.0,3.0960505158732783,0.0,1.8137477947809049,0.0,0.0,0.0,0.0,0.8764044943820225,0.0,1.0,0.0,1.0,0.5752808988764044,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,6,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:6
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,7,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10674157303370786,0.0,0.0,0.0,0.0,0.021348314606741574,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,7,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:7
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,9,7,10,10.0,0.06495922803878781,0.0,0.30443266393663687,0.0,0.0,0.0,0.0,0.0,0.5955056179775281,0.6981132075471698,0.0,0.5666666666666667,0.0,0.3720570984382729,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,9,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:9
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,27,2,43,43.0,0.10907077789306625,0.5822672056141689,0.320661933463507,0.2940508655564898,0.0,0.0,0.0,0.0,0.9550561797752809,0.8301886792452831,0.4915254237288136,0.6166666666666667,0.45,0.6686873898832089,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,27,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:27
nexar_collision_prediction,nexar:01374.mp4,9b71d376cbaeeae339904181196239bb283289e009e76cbd84882c1c4547d841,model_calibration,nexar:01374.mp4,Q1,0,61,2,14,14.0,0.04710102081298791,0.2243084381698512,0.3011557728217707,0.15887232906191145,0.0,0.0,0.0,0.0,0.6685393258426966,0.5283018867924528,0.13559322033898305,0.5333333333333333,0.23333333333333334,0.4198202199281599,nexar_collision_prediction|nexar:01374.mp4|Q1|0,UNIT_OUTCOME_WITH_TRACK_WITNESS,61,nexar_collision_prediction|nexar:01374.mp4|Q1|0|track:61
