call_idx,unit_id,oracle_label_after_query
0,111,positive
1,112,negative
2,34,negative
3,110,negative
4,107,negative
5,102,negative
6,25,positive
7,105,negative
8,55,negative
9,103,negative
10,14,negative
11,106,positive
12,104,negative
13,7,positive
14,9,positive
15,93,negative
16,92,negative
17,87,positive
18,23,negative
19,88,positive
20,86,positive
21,81,positive
22,85,positive
23,84,positive
24,56,positive
25,41,negative
26,63,negative
27,82,negative
28,118,negative
29,109,negative
30,80,negative
31,42,negative
32,91,negative
33,59,negative
34,60,negative
35,83,positive
36,79,positive
37,39,positive
38,78,negative
39,89,negative
40,90,negative
41,117,negative
42,65,negative
43,16,negative
44,73,negative
45,31,negative
46,71,positive
47,45,negative
48,29,negative
49,70,positive
