path,size_bytes,sha256
FINAL_DECISION.csv,328,c3cd430fa8c5debc44d12f16fd740ba4227e2fcc5fbb00ce1690db33145b6e05
FINAL_REPORT.md,7285,ddacb3f22af007991334ec0d6ef1b46d377d1fc3815532b3d59dc730d661d433
REPRODUCTION.md,153,0e20f46fe465fd97014d2ca9bcf50ca23887bd2c20d6f7616bca262bbbe9c577
RESEARCH_STATE.md,1086,61dbac0778ca75809ffd47b92ab588724a5ead566c8880215b6feffdc05a366e
analysis/NEXT_RESEARCH_DECISION.md,221,1fb25feacc37872ca86a3cb6480537626d86f2bbd4b6962c57e5020ac19caf1b
analysis/acquisition_materializer_matrix.csv,7404,a5b75074920bb995e732d663390bd80f9ac31e9692592bf9d0e7af448480b800
analysis/action_mix.csv,594,fba17b3401952a51194fbd5f6896f11bd83190f60ec62b53cf51c2be9a3fb2e8
analysis/all_action_traces.csv,592597,da7aa0ed1cbd333904667baf617cafd1b8a214bae57de025b4d0a20fadcd680a
analysis/all_candidate_scores.csv,50963416,02bbf33632e8463c3ad7c64104e4be3548bfb3ff5d3bbb3a84e1a8119ae74002
analysis/all_state_transitions.csv,58146,757d64dc1a408c886fc3b187969bdbdc40058eddda3283fe8805eadc15da4151
analysis/eligible_action_counts.csv,82261,269e95a83288848b633816083b2b7f38e4cddbe567a253443f9f15f7a393729f
analysis/event_f1_auc.csv,759,ea5a7e126c2087f10ab198bb5a9317a2936ad9c8a2eead6d2aaa31c2201ede92
analysis/exploration_cell_inventory.csv,8632,cf36243496f9ddf7fc2cbc8d19449a038549cb453c6938600250820d8a7e9dfa
analysis/failure_cases.md,374,6ad6d2f8243ab43e9642dba2e768e3d8643070416961ed3133bd3d2b270eea36
analysis/first_discovery_by_event.csv,2635,4d29f4bc0a6e43083df5425aa54d6096a6adbd2b90522f2c576c155e7d860d2c
analysis/hypothesis_count_by_step.csv,28858,1efca37b7071d8061115d90b869ee0bf7d478a9b2205a7012a61264138c40b83
analysis/hypothesis_quality.csv,202,02df4a0b209776725b3d7aee6a5725424d9dfc6094b75b9619dad54241389a5a
analysis/mechanism_activation.csv,485,a570605d2bca1bd724a75f4ae89b693851970f173a03e55065acf02caf2b3422
analysis/per_budget_metrics.csv,8998,f91dc0c2e2167a41c65fed7700a26024faad1a15cd439fb8c9256710e440fe9a
analysis/planner_regret.csv,1674,f73be5786e8085cde246573b0663e374b2221001337402529541696b7d733510
analysis/query_efficiency.csv,670,26b50a4a8a3b0c405e46811dccfb4a4910d4abaea5f3ce785ea64f92cff3575b
analysis/repair_attribution.csv,382,7dedf6f7e2f66da962a29ce2718c60fe9aea9cb92a9d78fce46348eedeea121e
analysis/state_change_summary.csv,701,4409cd42ba515a82977ab52a4b77a84bb33145cf203cb8842272d7245807574c
audit/COMPLETION_AUDIT.csv,333,6343ea55b5f49071040049ea1d5081bbfad84b5c00aab54b46b3d079edd94292
audit/FORMAL_INTEGRITY_CHECKS.csv,786,deab386cd74f6529f6abcdb0e021bf3a4cf547cd7aee341f20da7c6a7a2fb6b2
audit/INDEPENDENT_ADVERSARIAL_REVIEW.json,5711,ed07c66f2c6e5974064f4780cda7f2e513a5a1b05a445ebe53c5e5315307f411
audit/INPUT_ARTIFACT_AUDIT.md,936,ad8dbf1544bbb04cd5d5c265b2d7a9c38f00a59eaea842eda6133d6a8725d69d
audit/INPUT_MANIFEST.csv,4563,a42bf3a39109e11728a27bbb23519e11793bfe138c8e71d65259fb87fdab8ac4
configs/CONFIG_MANIFEST.csv,526,2922ab5464a1f96ad570adc264ea599fcac5f992b8bc44786dbc86d170a16cc7
configs/H0_CONFIG.json,619,6847e0cefba2292a760b8fe13f10890df760fe00af8ae51e8b23711ac718a1fe
configs/H1_CONFIG.json,617,44d788033f2bd12bab2e731d5480915c4f328cc71c18a5d35f6ebd3fe13cb001
configs/H2_CONFIG.json,630,5e8e645c3cc0726da4bf3d14a67d823857b44e64bea3278f5b75e62598e1ca53
configs/H3_CONFIG.json,628,af7f9c54e3ccecabbe00e86057ed3d6684325d7875c311d06aa24e9220386dff
configs/H4_CONFIG.json,614,6c74744180d45135f709d1c511bb9996bcafd6a9744660f01c689a237c9006ab
design/HYPOTHESIS_SEMANTICS_ADDENDUM.md,1880,8e988c346543d165f15cbe31fbafec69aa995a536b4cc4fb1a07038973625b67
forensics/FAILURE_CAUSAL_DECOMPOSITION.md,2430,7d7cd1b63dfdc6195962f1cd74f899868b6ab9204b929e323c7414b78e718655
forensics/H0_ALL_CANDIDATE_SCORES_RECONSTRUCTED.csv,6428319,cd3103453011bd53fe46c926d6b9a8cbd8b01dc372071c20a92b5511be73bf41
forensics/H0_REPRODUCTION.csv,332,a0c2479760e8a6f4413884f7685766d6720d7531480e6ce3ab397b95d879122c
forensics/H0_REPRODUCTION_REPORT.md,216,ecc8c32c1cce9534434129c4d3a25a14f83b60f7ad2bbdfdc559f257a18a8c3a
forensics/action_opportunity_by_step.csv,27338,3b6552264b14187759ed74a0e5ebee28935647ea3009354bd2eb514bbca5d052
forensics/action_score_scale.csv,21982,b653b7565607ba08b9e51266a76baf77a34c4a9d68914bcf6a8acad4b8898183
forensics/budgeted_candidate_quality.csv,1015,863e0bb54c7e8ffd15320cc02cfe7c34da1612b8f58807fa8e0b87ac3735a53c
forensics/event_hypothesis_multiplicity.csv,1860,c7e89f2e350cc143d494d11951a208d153d4530f7dd6e78d991be731db03c48e
