call_idx,unit_id,oracle_label_after_query,outcome_is_determinate,verified_positive,propagated_unit_count,proxy_score,selection_reason,oracle_accessed_only_after_selection
0,0,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
1,2,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
2,5,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
3,7,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
4,10,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
5,18,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
6,50,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
7,69,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
8,74,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
9,79,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
10,83,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
11,99,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
12,101,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
13,107,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
14,108,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
15,111,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
16,113,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
17,116,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
18,119,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
19,121,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
20,125,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
21,126,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
22,144,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
23,155,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
24,103,negative,True,False,0,0.983543,sealed_label_blind_pstr_5_to_4,True
25,147,negative,True,False,0,0.972969,sealed_label_blind_pstr_5_to_4,True
26,75,negative,True,False,0,0.972619,sealed_label_blind_pstr_5_to_4,True
27,70,positive,True,True,0,0.955252,sealed_label_blind_pstr_5_to_4,True
28,58,positive,True,True,0,0.942017,sealed_label_blind_pstr_5_to_4,True
29,53,positive,True,True,0,0.929342,sealed_label_blind_pstr_5_to_4,True
30,44,negative,True,False,0,0.921359,sealed_label_blind_pstr_5_to_4,True
31,45,negative,True,False,0,0.921359,sealed_label_blind_pstr_5_to_4,True
32,151,negative,True,False,0,0.916246,sealed_label_blind_pstr_5_to_4,True
33,40,negative,True,False,0,0.903011,sealed_label_blind_pstr_5_to_4,True
34,37,negative,True,False,0,0.867787,sealed_label_blind_pstr_5_to_4,True
35,149,negative,True,False,0,0.861555,sealed_label_blind_pstr_5_to_4,True
36,55,positive,True,True,0,0.846359,sealed_label_blind_pstr_5_to_4,True
37,96,negative,True,False,0,0.829902,sealed_label_blind_pstr_5_to_4,True
38,82,negative,True,False,0,0.82612,sealed_label_blind_pstr_5_to_4,True
39,63,negative,True,False,0,0.817157,sealed_label_blind_pstr_5_to_4,True
40,89,negative,True,False,0,0.814076,sealed_label_blind_pstr_5_to_4,True
41,62,negative,True,False,0,0.804622,sealed_label_blind_pstr_5_to_4,True
42,48,negative,True,False,0,0.754482,sealed_label_blind_pstr_5_to_4,True
43,36,negative,True,False,0,0.747479,sealed_label_blind_pstr_5_to_4,True
44,94,negative,True,False,0,0.65049,sealed_label_blind_pstr_5_to_4,True
45,33,negative,True,False,0,0.636064,sealed_label_blind_pstr_5_to_4,True
46,137,negative,True,False,0,0.635854,sealed_label_blind_pstr_5_to_4,True
47,141,negative,True,False,0,0.617087,sealed_label_blind_pstr_5_to_4,True
48,22,negative,True,False,0,0.611345,sealed_label_blind_pstr_5_to_4,True
49,92,positive,True,True,0,0.607003,sealed_label_blind_pstr_5_to_4,True
