call_idx,unit_id,oracle_label_after_query,outcome_is_determinate,verified_positive,propagated_unit_count,proxy_score,selection_reason,oracle_accessed_only_after_selection
0,0,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
1,18,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
2,50,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
3,69,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
4,79,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
5,99,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
6,107,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
7,117,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
8,144,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
9,52,negative,True,False,0,0.956513,sealed_label_blind_pstr_5_to_4,True
