signal_id,rank,unit_id,score
image_text,1,0,28.266225814819336
image_text,2,101,26.650775909423828
image_text,3,27,26.64398193359375
image_text,4,102,26.61174201965332
image_text,5,55,26.56262969970703
image_text,6,11,26.55280113220215
image_text,7,85,26.405818939208984
image_text,8,15,26.396833419799805
image_text,9,20,26.348926544189453
image_text,10,19,26.339872360229492
image_text,11,72,26.299457550048828
image_text,12,14,26.259153366088867
image_text,13,25,26.24686050415039
image_text,14,23,26.235904693603516
image_text,15,18,26.20290756225586
image_text,16,74,26.17761993408203
image_text,17,112,26.15727424621582
image_text,18,3,26.145963668823242
image_text,19,73,26.06011199951172
image_text,20,6,26.046459197998047
image_text,21,21,26.03619956970215
image_text,22,22,25.98448371887207
image_text,23,24,25.971858978271484
image_text,24,17,25.94150161743164
image_text,25,4,25.924270629882812
image_text,26,9,25.880353927612305
image_text,27,1,25.853614807128906
image_text,28,107,25.850536346435547
image_text,29,114,25.844999313354492
image_text,30,38,25.82960319519043
image_text,31,106,25.703384399414062
image_text,32,94,25.698333740234375
image_text,33,95,25.69603157043457
image_text,34,26,25.67538833618164
image_text,35,28,25.649131774902344
image_text,36,108,25.60879135131836
image_text,37,13,25.603910446166992
image_text,38,51,25.53554344177246
image_text,39,10,25.527833938598633
image_text,40,98,25.481958389282227
image_text,41,115,25.473533630371094
image_text,42,32,25.470439910888672
image_text,43,52,25.421585083007812
image_text,44,29,25.41805076599121
image_text,45,56,25.416730880737305
image_text,46,57,25.38331413269043
image_text,47,2,25.3648624420166
image_text,48,77,25.30263328552246
image_text,49,116,25.29956817626953
image_text,50,71,25.280664443969727
image_text,51,111,25.277053833007812
image_text,52,31,25.27057456970215
image_text,53,34,25.2268009185791
image_text,54,119,25.216480255126953
image_text,55,30,25.206642150878906
image_text,56,80,25.196056365966797
image_text,57,105,25.181640625
image_text,58,100,25.13469696044922
image_text,59,91,25.124616622924805
image_text,60,86,25.112028121948242
image_text,61,83,25.111858367919922
image_text,62,82,25.082334518432617
image_text,63,54,25.0034236907959
image_text,64,79,24.997974395751953
image_text,65,87,24.97804069519043
image_text,66,59,24.974092483520508
image_text,67,81,24.94212532043457
image_text,68,84,24.930761337280273
image_text,69,33,24.860939025878906
image_text,70,90,24.84003257751465
image_text,71,109,24.832630157470703
image_text,72,7,24.794265747070312
image_text,73,104,24.785465240478516
image_text,74,97,24.781225204467773
image_text,75,96,24.739032745361328
image_text,76,64,24.73261833190918
image_text,77,16,24.658288955688477
image_text,78,58,24.65723419189453
image_text,79,5,24.643470764160156
image_text,80,93,24.641376495361328
image_text,81,61,24.636240005493164
image_text,82,8,24.595129013061523
image_text,83,39,24.5891056060791
image_text,84,117,24.514436721801758
image_text,85,70,24.508928298950195
image_text,86,76,24.490236282348633
image_text,87,36,24.483600616455078
image_text,88,35,24.46457862854004
image_text,89,113,24.463645935058594
image_text,90,68,24.427104949951172
image_text,91,118,24.356266021728516
image_text,92,89,24.350692749023438
image_text,93,37,24.323646545410156
image_text,94,67,24.31966781616211
image_text,95,110,24.280935287475586
image_text,96,53,24.275835037231445
image_text,97,69,24.261816024780273
image_text,98,66,24.219881057739258
image_text,99,63,24.18242835998535
image_text,100,65,24.181991577148438
image_text,101,62,24.16577911376953
image_text,102,48,24.060409545898438
image_text,103,60,24.034069061279297
image_text,104,40,24.029165267944336
image_text,105,78,24.01986312866211
image_text,106,41,23.97873878479004
image_text,107,42,23.973318099975586
image_text,108,49,23.93584442138672
image_text,109,92,23.926774978637695
image_text,110,75,23.926313400268555
image_text,111,45,23.912654876708984
image_text,112,43,23.911266326904297
image_text,113,46,23.90423583984375
image_text,114,44,23.885299682617188
image_text,115,50,23.85565185546875
image_text,116,47,23.806180953979492
image_text,117,99,23.476852416992188
image_text,118,88,23.458498001098633
image_text,119,103,22.816028594970703
image_text,120,12,22.522235870361328
