claim_id,current_main_ledger_status,auditor_recommended_status,reason,evidence_class,confidence,required_resolution_if_different
C-A,PARTIALLY SUPPORTED,PARTIALLY SUPPORTED (KEEP; sharpen scope wording),"Ranking-scope support is A-class verified (AUPRC 0.2584-0.3146; gap 0.095134). Scope must explicitly exclude natural acquisition failure, which is unmeasured",A,HIGH,None (status kept); recommend adding 'ranking-scope only' to scope column
C-B,NOT ESTABLISHED,NOT ESTABLISHED (KEEP; no downgrade from unverifiable preflight),"Cached substrate tests a reduced problem; no faithful substrate anywhere verifiable; the claimed 0/36 preflight is REPORTED_REMOTE_UNVERIFIED and cannot move this claim in either direction",A (for cached partial evidence) + F (for preflight),HIGH,None; forbid using 0/36 in any C-B update
C-C,NOT ESTABLISHED,NOT ESTABLISHED (KEEP; prior lowered),"Model-relative geometry support (LOVO R2 0.7953) is real but reference-circular; VLM shadow and P2 are weak/negative; human P1 pending with 0 labels",A,HIGH,None; resolution is human P1 only
C-D,PARTIALLY SUPPORTED,PARTIALLY SUPPORTED (KEEP),"0.48% nested-trace violations re-verified; but it is oracle-call budget monotonicity, not wall-clock",A,HIGH,None
C-E,PARTIALLY SUPPORTED,"PARTIALLY SUPPORTED (KEEP, boundary intact)","54/54 pairs; median +0.1457; but reference is K3-defined model-relative and circularity risk is HIGH for unconditional claims",A,HIGH,None; human reference required before any upgrade
C-F,NO-GO / CLOSED,NO-GO / CLOSED (KEEP),"gap-only median +0.1377 vs 0.0 for duration/barrier/extras - independently re-derived",A,HIGH,None
C-G,NO-GO / CLOSED,"NO-GO / CLOSED (KEEP, substrate-bounded)","Learned regret 0.009693 vs fixed 0.000885; AUROC 0.548; 0/18 and 1/7 physical probes; correct closure on current substrate, not universal impossibility",A,HIGH,None
C-H,PARTIALLY SUPPORTED,"PARTIALLY SUPPORTED (KEEP, single-domain scope)","Mean anytime recall AUC 0.13323 in RC_SEM manifest (hashed); sequential study domain = dataset3_development; dynamic selector not universally superior",A,HIGH,None
C-I,DISFAVORED / WEAKENED,DISFAVORED / WEAKENED (KEEP),"Shadow: 2/6 clusters positive; MAE gain 0.000665; proxy directions conflict; P2 residual absent",A,HIGH,None; final arbitration is human P1
C-J,DISFAVORED / WEAKENED,DISFAVORED / WEAKENED (KEEP),"Median cluster Delta F1 0.0 with 95% CI [-0.0136,0.0223]; residual ABSENT - re-verified",A,HIGH,None
C-K,NOT ESTABLISHED,NOT ESTABLISHED (KEEP),"No faithful endogenous substrate anywhere verifiable; P4 = NOT_STARTED/NOT_AUTHORIZED; preflight absent",A (for absence evidence) / F, HIGH,None; do not reopen from the unverifiable preflight
C-L (proposed new),"A reported endogenous-SCAN preflight (SUBSTRATE_FIDELITY PASS; 0/36 at delta 0.02; costs 0.1071/18.4440 s) ran in the prior environment",UNVERIFIABLE / DO_NOT_USE,"Not in main ledger; if added it must carry status UNVERIFIABLE and evidence class F/C",F (local) / C (remote-reported),HIGH,Recover the 13 artifacts from the prior environment before any ledger entry; otherwise keep the claim out of the ledger entirely

