result_id,statistical_unit,n_rows,n_matched_pairs,n_video_query_clusters,n_independent_source_videos,correlation_structure,valid_inference_level,auditor_note
P0_MATERIALIZER_K3_vs_K0,controlled same-trace pair (video x selector x budget),108 rows / 54 pairs,54,3 video-query clusters (1 query),3 (DALI/HANGZHOU/WUHAN),"Pairs share videos; K0/K3 consume byte-identical trace outcomes by construction (matched-pair design is correct); 18 cells per video are NOT 18 independent samples",per-video-query cluster (n=3); bootstrap CI over pairs acknowledges cell clustering only partially,"54 pairs must not be read as N=54 independent samples; within-video cells are correlated through shared reference/trace populations"
P0_MECHANISM_ABLATION,same-trace mechanism increment,54 cells per mechanism,54,3 (same 54-trace set),3,"Mechanism increments computed on the same 54 frozen traces; zero increments are absence-of-exposure on sparse traces, not evidence of mechanism nullity",per-video-query cluster,"40/14/0 gap-only cells share the 54-trace correlation structure"
MAIN_THESIS_RANKING_GAP,video-budget cell (StaticProxyRank only),9 cells (3 videos x budgets 5/10/20),9,3,3,"Cells share videos; gap is deterministic (no sampling noise), median over 9 correlated cells",3 videos; median descriptive,deterministic contrast over a fixed matrix - no sampling inference claimed; videos are the only independent units
MAIN_THESIS_EXPOSURE_GAP,video-budget-policy cell,27 cells (3x3x3),27,3,3,"Same 3 videos; synthetic thinning regimes share base matrices",3 videos; median descriptive,deterministic; synthetic E1/E2/E3 are stress models of the same underlying table
RESOURCE_MONOTONICITY,budget transition within nested trace,210 transitions pooled (re-verified),n/a,3 videos x 2 nested policies,3,"Transitions within a trace are serially dependent; violation rate pooled across correlated traces",descriptive pooled rate,0.48% is a pooled property of 3 videos x 2 nested policies; not an iid sample of transitions
GEOMETRY_378_LOVO,leave-one-video-out prediction row,378 rows per model,378,3,3,"LOVO folds share video-query populations across videos; macro R2 averages 3 correlated per-video R2 values",3 videos (LOVO design); macro R2 reported,"R2 0.795 is LOVO cross-video association under a K3/model-relative reference; no human event evidence"
P1_AUTOMATED_EQUAL_YIELD,deterministic equal-positive contrast row,198 contrast rows (re-verified),198,12 video-query-proxy cells (re-verified),3 videos x 2 queries = 6 clusters,"Contrasts are deterministic pairs drawn within cluster strata; NOT 198 independent samples; cluster medians are the primary summary",12 cluster cells; cluster-bootstrap planned,"Strata sharing a video-query cluster are correlated; project itself forbids treating strata as independent"
P1_SHADOW_198_PAIRS,anchor-assigned exact-yield pair,198 pairs (re-verified),198,6 clusters,3,"Pairs within a cluster share trace/anchor populations; per-cluster effects 2/6 positive is the correct level; VLM annotators share one checkpoint (A/B sessions)",6 clusters (primary); source-video secondary,"198 pairs must not be N=198; also the two 'annotators' are sessions of the SAME Qwen3-VL-8B checkpoint - not independent raters"
P2_CLUSTER_BOOTSTRAP,video-query-proxy cluster,10000 bootstrap replicates over 12 clusters,equal-yield policy pairs within clusters,12,6 (3 videos x 2 queries),"Bootstrap resamples 12 correlated clusters; CI [-0.0136,0.0223] for median cluster delta F1 re-verified","12-cluster median + bootstrap,correct unit chosen; clusters themselves share videos, so 6 query-video clusters is the harder ceiling"
CONTROLLER_108_STATES,dual-legal cached state,108 states,108 branches,2 source videos,2,"States sampled from 4 behavior policies then capped 12 per domain-budget; NOT population-weighted; states from one video correlated",2 source videos (explicitly disclosed),"25/26/57 and 5/5/98 are threshold views of the same 108 delta_q values - reconciled, not conflicting; prevalence unidentifiable (SAMPLING_VS_PREVALENCE=NOT_IDENTIFIABLE)"
PUBLIC_STATE_PREDICTABILITY,held-out source video prediction,1296 prediction rows,108 states x 12 methods,2 source videos,2,"Leave-one-source-out CV over 2 videos; state rows correlated within video",2 videos,gate correctly judged non-generalizing on n=2 sources
GUANGZHOU_PHYSICAL,physical run,2 runs (original + repeat),n/a,1 source video,1,"Same-source repeat (~0.48s completion difference); NOT independent replication",1 source video (exploratory),single-source single-event; explicitly not cross-source
COUNTERFACTUAL_PROBES_18_7,selected B-state branch,18 one-step + 7 continuation pairs,n/a,1 source video,1,"Selected support, not randomized behavior; no propensities; continuation shares fixed-B default",1 source video,no off-policy/closed-loop claim possible from this design
RC_SEM_SEQUENTIAL,cached replay run,180 runs + 385-inventory sequential study,180,1 primary domain (dataset3_development),1,"All runs share one domain/video population; deterministic rerun hash verified",1 domain,manifest discloses development-domain scope
PARTIAL_SCAN_PILOT,physical SCAN unit,5495 immutable assets incl. per-unit scan outputs,270-818 cost samples per seek stratum,"2 source videos (PSP_V0_SHORT=WUHAN, PSP_V1_LONG=DALI by sha256)",2,"Per-unit costs serially correlated through GOP/cache strata; CONTROLLED_WARM_CACHE only",2 videos; benchmark engineering only,"Pilot BLOCKED on policy isolation; pseudo-reference; no event/policy inference authorized from it"

