call_idx,unit_id,oracle_label_after_query
0,111,positive
1,2,negative
2,112,negative
3,110,negative
4,107,negative
5,102,negative
6,105,negative
7,103,negative
8,39,positive
9,17,negative
10,4,positive
11,43,negative
12,15,negative
13,104,negative
14,118,negative
15,93,negative
16,106,positive
17,11,negative
18,92,negative
19,87,positive
20,12,positive
21,88,positive
22,59,negative
23,31,negative
24,100,negative
25,86,positive
26,119,negative
27,28,negative
28,14,negative
29,81,positive
30,30,negative
31,85,positive
32,84,positive
33,82,negative
34,24,negative
35,80,negative
36,91,negative
37,83,positive
38,19,negative
39,77,positive
40,79,positive
41,78,negative
42,54,negative
43,89,negative
44,66,negative
45,115,negative
46,109,negative
47,90,negative
48,76,positive
49,42,negative
50,75,negative
51,34,negative
52,95,negative
53,62,negative
54,33,negative
55,73,negative
56,46,negative
57,65,negative
58,10,negative
59,56,positive
60,41,negative
61,71,positive
62,63,negative
63,70,positive
64,27,negative
65,113,negative
66,72,negative
67,74,negative
68,69,negative
69,96,positive
70,16,negative
71,97,negative
72,94,negative
73,68,negative
74,99,negative
75,67,negative
76,55,negative
77,57,negative
78,49,positive
79,51,negative
