mode,width_mode,scenario,rep,world_seed,cluster_count,true_positive_bins,positive_fraction
full,isolated,strong,0,1915192388,12,12,0.006000
full,isolated,strong,1,624015101,23,23,0.011500
full,isolated,strong,2,1233823631,18,18,0.009000
full,isolated,strong,3,740261128,13,13,0.006500
full,isolated,strong,4,1837758638,13,13,0.006500
full,isolated,strong,5,952994203,16,16,0.008000
full,isolated,strong,6,1470302172,13,13,0.006500
full,isolated,strong,7,101802408,24,24,0.012000
full,isolated,strong,8,1830562811,10,9,0.004500
full,isolated,strong,9,398998677,15,15,0.007500
full,isolated,strong,10,1804171481,13,13,0.006500
full,isolated,strong,11,1591140640,19,19,0.009500
full,isolated,strong,12,548845985,9,9,0.004500
full,isolated,strong,13,1398624473,20,20,0.010000
full,isolated,strong,14,1083178790,18,18,0.009000
full,isolated,strong,15,729960140,15,15,0.007500
full,isolated,strong,16,657531184,18,18,0.009000
full,isolated,strong,17,126048223,25,25,0.012500
full,isolated,strong,18,166315766,12,12,0.006000
full,isolated,strong,19,1266082726,12,12,0.006000
full,isolated,strong,20,1544374248,17,17,0.008500
full,isolated,strong,21,188174644,17,17,0.008500
full,isolated,strong,22,1700660338,18,18,0.009000
full,isolated,strong,23,581225948,23,23,0.011500
full,isolated,strong,24,1553651960,25,25,0.012500
full,isolated,strong,25,1638798880,16,16,0.008000
full,isolated,strong,26,519108169,18,18,0.009000
full,isolated,strong,27,709630907,26,25,0.012500
full,isolated,strong,28,354092680,24,24,0.012000
full,isolated,strong,29,1683980438,20,20,0.010000
full,isolated,strong,30,579270803,21,20,0.010000
full,isolated,strong,31,1106314525,22,21,0.010500
full,isolated,strong,32,1390971464,14,14,0.007000
full,isolated,strong,33,1865935386,18,18,0.009000
full,isolated,strong,34,658156481,14,13,0.006500
full,isolated,strong,35,402370288,12,12,0.006000
full,isolated,strong,36,1739517061,15,15,0.007500
full,isolated,strong,37,1660833298,20,20,0.010000
full,isolated,strong,38,55141464,16,16,0.008000
full,isolated,strong,39,716243426,20,20,0.010000
full,isolated,strong,40,1204780717,14,14,0.007000
full,isolated,strong,41,329902323,21,21,0.010500
full,isolated,strong,42,117450522,17,17,0.008500
full,isolated,strong,43,1471176046,24,24,0.012000
full,isolated,strong,44,550399891,20,20,0.010000
full,isolated,strong,45,1496235839,20,20,0.010000
full,isolated,strong,46,1502789639,20,20,0.010000
full,isolated,strong,47,1057993716,16,16,0.008000
full,isolated,strong,48,1353138230,17,17,0.008500
full,isolated,strong,49,547356690,21,21,0.010500
full,isolated,strong,50,1167841300,22,22,0.011000
full,isolated,strong,51,1741103424,10,10,0.005000
full,isolated,strong,52,1965855959,12,12,0.006000
full,isolated,strong,53,291953471,18,18,0.009000
full,isolated,strong,54,1510411224,15,15,0.007500
full,isolated,strong,55,412923982,16,16,0.008000
full,isolated,strong,56,1293929220,21,21,0.010500
full,isolated,strong,57,1062724362,13,13,0.006500
full,isolated,strong,58,1723483631,18,18,0.009000
full,isolated,strong,59,119656511,18,18,0.009000
full,isolated,strong,60,1462642136,23,23,0.011500
full,isolated,strong,61,2089843893,16,15,0.007500
full,isolated,strong,62,1312813568,20,20,0.010000
full,isolated,strong,63,879332280,17,17,0.008500
full,isolated,strong,64,743469571,14,14,0.007000
full,isolated,strong,65,1669913757,14,14,0.007000
full,isolated,strong,66,1082740679,22,21,0.010500
full,isolated,strong,67,373905320,16,16,0.008000
full,isolated,strong,68,794325547,20,20,0.010000
full,isolated,strong,69,215783510,19,19,0.009500
full,isolated,strong,70,1505680159,27,26,0.013000
full,isolated,strong,71,616571292,21,21,0.010500
full,isolated,strong,72,1058579592,31,31,0.015500
full,isolated,strong,73,1124711493,21,20,0.010000
full,isolated,strong,74,1830302839,22,22,0.011000
full,isolated,strong,75,1237312277,18,18,0.009000
full,isolated,strong,76,20912818,24,24,0.012000
full,isolated,strong,77,24637913,14,14,0.007000
full,isolated,strong,78,1855802311,15,15,0.007500
full,isolated,strong,79,617639521,13,12,0.006000
full,isolated,strong,80,435485804,17,17,0.008500
full,isolated,strong,81,1922391135,21,20,0.010000
full,isolated,strong,82,1693583001,17,17,0.008500
full,isolated,strong,83,83033298,23,23,0.011500
full,isolated,strong,84,1867617647,14,14,0.007000
full,isolated,strong,85,1952019627,15,15,0.007500
full,isolated,strong,86,1185879578,14,14,0.007000
full,isolated,strong,87,1416607017,20,19,0.009500
full,isolated,strong,88,763964342,25,25,0.012500
full,isolated,strong,89,1171713421,16,15,0.007500
full,isolated,strong,90,2064386209,17,17,0.008500
full,isolated,strong,91,224446337,23,23,0.011500
full,isolated,strong,92,424676164,14,14,0.007000
full,isolated,strong,93,1488675453,18,18,0.009000
full,isolated,strong,94,92071547,15,15,0.007500
full,isolated,strong,95,1341638136,17,17,0.008500
full,isolated,strong,96,1938774991,16,16,0.008000
full,isolated,strong,97,1092391587,14,14,0.007000
full,isolated,strong,98,475200269,20,20,0.010000
full,isolated,strong,99,510528387,22,22,0.011000
full,isolated,strong,100,1200187000,25,25,0.012500
full,isolated,strong,101,1971106637,14,14,0.007000
full,isolated,strong,102,2111265007,18,17,0.008500
full,isolated,strong,103,1423825656,15,15,0.007500
full,isolated,strong,104,702458330,14,14,0.007000
full,isolated,strong,105,463969222,22,22,0.011000
full,isolated,strong,106,129476547,16,16,0.008000
full,isolated,strong,107,761823995,20,20,0.010000
full,isolated,strong,108,1134604480,13,13,0.006500
full,isolated,strong,109,828940506,16,16,0.008000
full,isolated,strong,110,173859880,25,25,0.012500
full,isolated,strong,111,1217744802,13,13,0.006500
full,isolated,strong,112,986898912,18,18,0.009000
full,isolated,strong,113,1071112692,14,14,0.007000
full,isolated,strong,114,849776376,24,24,0.012000
full,isolated,strong,115,776204096,15,15,0.007500
full,isolated,strong,116,1681650879,24,24,0.012000
full,isolated,strong,117,1939164844,16,16,0.008000
full,isolated,strong,118,1523071466,13,13,0.006500
full,isolated,strong,119,1722138988,20,20,0.010000
full,isolated,weak,0,959920125,17,17,0.008500
full,isolated,weak,1,1979060681,22,22,0.011000
full,isolated,weak,2,2020899307,13,13,0.006500
full,isolated,weak,3,228750519,11,11,0.005500
full,isolated,weak,4,1328736423,18,18,0.009000
full,isolated,weak,5,2073513079,11,11,0.005500
full,isolated,weak,6,2053614363,20,20,0.010000
full,isolated,weak,7,435013937,27,27,0.013500
full,isolated,weak,8,285563654,17,17,0.008500
full,isolated,weak,9,2019427429,22,22,0.011000
full,isolated,weak,10,1874444180,16,15,0.007500
full,isolated,weak,11,153905301,19,19,0.009500
full,isolated,weak,12,1795995690,12,12,0.006000
full,isolated,weak,13,598777109,26,25,0.012500
full,isolated,weak,14,43779924,16,15,0.007500
full,isolated,weak,15,39163241,20,20,0.010000
full,isolated,weak,16,728774881,26,26,0.013000
full,isolated,weak,17,1615408285,21,21,0.010500
full,isolated,weak,18,199319158,25,25,0.012500
full,isolated,weak,19,1758924369,16,16,0.008000
full,isolated,weak,20,1267395072,18,18,0.009000
