experiment_name,dataset,synthetic_or_real,query_type,methods,metrics,key_result,supports_G_ARC_how,credibility_level,limitation
smoke_test,synthetic_videos,synthetic,count_vehicle_K_tau,full_oracle/fixed_rate/uniform_random/proxy_threshold/arc_clustering,frame_recall/clip_recall/IoU/frag/boundary_error,Clip_degradation_5-20x_larger_than_frame,Core_motivation_frame_guarantees_fail_at_clip_level,high_audit,Single_perturbation_type_dominates
audit_agent_a,synthetic_videos,synthetic,count_vehicle_K_tau,diagnostic_checks,inclusive_interval/tau/IoU/fragmentation_matching,All_metrics_verified_correct,Validates_evaluation_infrastructure,high_audit,Synthetic_only
audit_agent_b,synthetic_videos,synthetic,count_vehicle_K_tau,clean_control_full_oracle/fixed_rate/uniform/proxy/arc,frame_recall/clip_recall/oracle_frac,All_baselines_pass_clean_control_full_oracle_equals_1,Confirms_baselines_are_sound_degradation_is_real,high_audit,Synthetic_only
audit_agent_c,synthetic_videos,synthetic,count_vehicle_K_tau,parameter_sweep_240_combinations_4tau_4budget_3K_5seeds,clip_drop/frame_drop/ratio,Clip_gt_frame_in_80.7pct_cases_stable_across_tau_budget_K,Shows_effect_is_robust_not_an_artifact_of_specific_params,high_sweep,Synthetic_only
audit_agent_d,synthetic_videos,synthetic,count_vehicle_K_tau,perturbation_ablation_proxy_noise/visibility_drop/gaps/jitter,clip_recall_drop/fragmentation,proxy_noise_dominant_20-27x_amplification_visibility_drop_secondary,Identifies_which_perturbation_breaks_clip_guarantees,high_ablation,Only_one_perturbation_type_matters
audit_agent_e,synthetic_videos,synthetic,count_vehicle_K_tau,hidden_risk_vs_uniform_same_propagation,clip_recall/oracle_frac,hidden_risk_no_help_propagation_dominates,Shows_allocation_matters_less_than_reconstruction,high_ablation,Synthetic_only
factorial_ablation,synthetic_videos,synthetic,count_vehicle_K_tau,6_allocation_x_5_propagation,effect_range/clip_recall/fragmentation,Propagation_5x_more_important_NN_near_perfect_on_easy_data,Shows_reconstruction_is_key_challenge_not_allocation,high_factorial,NN_is_near_perfect_makes_problem_look_easy
hard_synthetic,synthetic_videos,synthetic,count_vehicle_K_tau,5_regimes_x_5_propagation_x_4tau_x_3budget,clip_recall/IoU/frag/false_merge/false_split,NN_fails_on_regime_shift_0.616_and_mixed_hard_0.461_conservative_boundary_best,Shows_there_exist_hard_cases_where_NN_fails,high_sweep,Only_2_of_5_regimes_actually_hard
real_mvp_bdd100k,BDD100K,real_labels_synthetic_proxy,count_vehicle_K,SUPG_recall/precision/uniform/proxy_threshold/importance/defensive,recall/precision/set_size/violation,SUPG_works_but_K3_too_easy_94.86pct_positive_rate,Shows_SUPG_frame_selection_works_on_real_data,medium_real,Synthetic_proxy_over_real_labels_K3_too_easy
real_mvp_uadetrac,UA-DETRAC_60seq,real,frame_vehicle_count,uniform/proxy_threshold/importance/stratified,clip_recall/clip_precision/IoU,Frame_to_clip_gap_confirmed_clip_recall_15pct_at_10pct_budget,Confirms_frame_to_clip_gap_on_real_continuous_video,medium_real,Fixed_camera_no_ego_motion_independent_sequences
real_kinematic_uadetrac,UA-DETRAC_2D,real,in_image/in_front/count_ge_K,naive/fixed_rate/linear_interp/const_vel/kalman/boundary_only/query_impact,clip_f1/oracle_ratio/frame_recall,boundary_only_beats_fixed_rate_by_0.103_F1_at_11pct_oracle_parameter_sensitive,Shows_boundary_aware_helps_but_small_advantage,medium_real,2D_only_small_advantage_parameter_sensitive
nuscenes_feasibility,nuScenes_mini,real_3d,in_fov/within_30m/ego_front,naive/fixed_rate_k2_k3_k5_k10/linear_interp/const_vel,clip_f1/oracle_ratio/mIoU,Real_3D_pipeline_works_fixed_rate_k10_gives_0.81-0.88_ClipF1_task_nontrivial,Validates_real_3D_data_can_support_G_ARC_evaluation,high_real,Only_smoke_baselines_no_guarantee_method_yet
nuscenes_audit,nuScenes_mini,real_3d,in_fov/within_30m/ego_front,naive_oracle_verification,clip_f1,naive_oracle_corrected_to_1.0_aggregation_bug_fixed,Confirms_evaluation_is_correct,high_real,Same_as_feasibility
topic_migration_audit,all,meta,all,meta_analysis,novelty/feasibility/venue_fit/risk,G_ARC_recommended_as_main_topic_migration_from_moving_camera,Strategic_justification_for_G_ARC_direction,high_meta,No_new_experiments
