call_idx,unit_id,oracle_label_after_query,proxy_score,selection_reason
0,0,negative,1.0,sealed_label_blind_pstr_5_to_4
1,18,negative,1.0,sealed_label_blind_pstr_5_to_4
2,50,positive,1.0,sealed_label_blind_pstr_5_to_4
3,69,negative,1.0,sealed_label_blind_pstr_5_to_4
4,79,negative,1.0,sealed_label_blind_pstr_5_to_4
5,99,negative,1.0,sealed_label_blind_pstr_5_to_4
6,107,positive,1.0,sealed_label_blind_pstr_5_to_4
7,117,positive,1.0,sealed_label_blind_pstr_5_to_4
8,144,negative,1.0,sealed_label_blind_pstr_5_to_4
9,52,negative,0.956513,sealed_label_blind_pstr_5_to_4
