call_idx,unit_id,oracle_label_after_query
0,107,negative
1,115,negative
2,45,negative
3,7,negative
4,344,negative
5,345,negative
6,46,negative
7,191,negative
8,342,negative
9,8,negative
10,341,negative
11,339,negative
12,104,negative
13,119,negative
14,44,negative
15,330,negative
16,49,negative
17,106,negative
18,343,negative
19,42,negative
20,332,negative
21,111,negative
22,105,negative
23,103,negative
24,127,negative
25,337,negative
26,334,negative
27,125,negative
28,328,negative
29,117,negative
30,102,negative
31,79,negative
32,329,negative
33,335,negative
34,110,negative
35,109,negative
36,112,negative
37,336,negative
38,338,negative
39,118,negative
40,333,negative
41,88,negative
42,340,negative
43,116,negative
44,315,negative
45,41,negative
46,108,negative
47,9,negative
48,317,positive
49,129,positive
50,311,negative
51,321,negative
52,186,negative
53,313,negative
54,314,negative
55,323,negative
56,114,negative
57,319,negative
58,322,positive
59,320,negative
60,184,negative
61,307,negative
62,306,negative
63,305,negative
64,346,negative
65,43,negative
66,310,negative
67,185,positive
68,302,negative
69,100,negative
70,325,positive
71,326,negative
72,101,negative
73,303,negative
74,309,negative
75,327,negative
76,324,negative
77,300,negative
78,13,negative
79,301,negative
80,190,negative
81,298,negative
82,308,negative
83,296,positive
84,297,positive
85,113,negative
86,295,negative
87,299,negative
88,312,negative
89,48,negative
90,288,negative
91,304,negative
92,290,negative
93,291,negative
94,294,negative
95,292,negative
96,293,negative
97,285,negative
98,289,negative
99,283,positive
