call_idx,unit_id,oracle_label_after_query,proxy_score,selection_reason
0,105,negative,0.5205731540797527,sealed_label_blind_pstr_5_to_4
1,88,positive,0.5145577373961224,sealed_label_blind_pstr_5_to_4
2,102,negative,0.4817173743394279,sealed_label_blind_pstr_5_to_4
3,93,negative,0.4748980540999212,sealed_label_blind_pstr_5_to_4
4,49,positive,0.4735633653135126,sealed_label_blind_pstr_5_to_4
5,81,positive,0.4720638864573329,sealed_label_blind_pstr_5_to_4
6,36,negative,0.4690838966129135,sealed_label_blind_pstr_5_to_4
7,71,positive,0.4250146762726758,sealed_label_blind_pstr_5_to_4
8,79,positive,0.4111073851885846,sealed_label_blind_pstr_5_to_4
9,111,positive,0.4097589050237029,sealed_label_blind_pstr_5_to_4
10,73,negative,0.4057423420257025,sealed_label_blind_pstr_5_to_4
11,0,negative,0.4,sealed_label_blind_pstr_5_to_4
12,55,negative,0.3917806209083863,sealed_label_blind_pstr_5_to_4
13,99,negative,0.3913404234500853,sealed_label_blind_pstr_5_to_4
14,27,negative,0.3882853357423186,sealed_label_blind_pstr_5_to_4
15,59,negative,0.3685573506168952,sealed_label_blind_pstr_5_to_4
16,118,negative,0.3682008363835091,sealed_label_blind_pstr_5_to_4
17,5,positive,0.3522120993424013,sealed_label_blind_pstr_5_to_4
18,12,positive,0.3507529698913206,sealed_label_blind_pstr_5_to_4
19,39,positive,0.3501125549310816,sealed_label_blind_pstr_5_to_4
