source_path_or_prefix,classification,omission_reason,replacement_path,source_commit,scientific_result_preserved_in
outputs/,D_REPRODUCIBILITY_EXCESS,RAW_EXPERIMENT_TRACE,results/,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/
data/,D_MEDIA,RAW_MEDIA,docs/DATA_AND_PROVENANCE.md,5047241b0561b911b9a519b18e8e7591c0074e70,docs/DATA_AND_PROVENANCE.md
src/garc_eval/scan_headroom/,D_LEGACY_SUBSYSTEM,NOT_REQUIRED_BY_DEPENDENCY_CLOSURE,src/garc/scan/,5047241b0561b911b9a519b18e8e7591c0074e70,docs/SCAN_POLICY.md
src/garc_eval/scan_confirm_controller/myopic_controller.py,D_FAILED_BRANCH,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/MYOPIC_VPS.md
src/garc_eval/scan_confirm_controller/common_utility.py,D_FAILED_BRANCH,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/COMMON_UTILITY_ALIGNMENT.md
src/garc_eval/scan_confirm_controller/common_utility_controller.py,D_FAILED_BRANCH,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/COMMON_UTILITY_ALIGNMENT.md
src/garc_eval/scan_confirm_controller/offline_oracle.py,D_EVALUATION_ORACLE,NOT_REQUIRED_BY_DEPENDENCY_CLOSURE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/MYOPIC_VPS.md
src/garc_eval/scan_confirm_controller/posterior.py,D_FAILED_BRANCH,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/MYOPIC_VPS.md
src/garc_eval/scan_confirm_controller/vps.py,D_FAILED_BRANCH,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/MYOPIC_VPS.md
scripts/run_common_utility_alignment_v1.py,D_FAILED_BRANCH,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/COMMON_UTILITY_ALIGNMENT.md
scripts/run_partial_scan_mechanism_ablation.py,D_SUPERSEDED,SUPERSEDED_IMPLEMENTATION,scripts/benchmark_scan_policy.py,5047241b0561b911b9a519b18e8e7591c0074e70,docs/SCAN_POLICY.md
scripts/run_partial_scan_m5_falsification_audit.py,D_DEBUG,DEBUG_ONLY,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/YOLO_REGION_SCHEDULING.md
scripts/freeze_selected_frontier_conversion_v1.py,D_ONE_TIME_FREEZE,DEBUG_ONLY,scripts/audit_video_inputs.py,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/SELECTED_FRONTIER_CALIBRATION.md
benchmarks/partial_scan_pilot_v1/immutable/scan_outputs/,D_RAW_ARTIFACT,RAW_EXPERIMENT_TRACE,results/key_metrics.csv,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/README.md
outputs/multi_fidelity_region_preview_v1/predictions/,D_FAILED_BRANCH_ARTIFACT,RAW_EXPERIMENT_TRACE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/MULTI_FIDELITY_PREVIEW.md
outputs/multi_fidelity_region_preview_v1/preview/,D_FAILED_BRANCH_ARTIFACT,FAILED_PREREGISTERED_GATE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/MULTI_FIDELITY_PREVIEW.md
outputs/scan_confirm_decision_v1/fixed_ratio_baselines/traces/,C_EXCESS_TRACE,RAW_EXPERIMENT_TRACE,results/selected_controller.json,5047241b0561b911b9a519b18e8e7591c0074e70,docs/SCAN_CONFIRM_CONTROLLER.md
outputs/selected_frontier_conversion_v1/input_unblock/,C_MINIMAL_RESULT,DUPLICATE,src/garc/audit/video_eligibility.py,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/SELECTED_FRONTIER_CALIBRATION.md
*.parquet,D_BULK_RESULT,RAW_EXPERIMENT_TRACE,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/research-history/README.md
*.pt,D_MODEL_ARTIFACT,MODEL_WEIGHT,,5047241b0561b911b9a519b18e8e7591c0074e70,docs/LIMITATIONS.md
__pycache__/,D_CACHE,CACHE,,5047241b0561b911b9a519b18e8e7591c0074e70,provenance/omitted_legacy_manifest.csv
