video_id,query_id,unit_id,start_time,end_time,unit_score,top_track_id,top_class_id,candidate_count,top_track_evidence_json
V0,Q1,0,0.0,10.0,0.715905942571921,1.0,2.0,12,"{""approximate_ttc_urgency"": 1.2310346431702786, ""box_growth"": 2.095143241683902, ""front_region_occupancy"": 0.610676124205153, ""path_directed_lateral_motion"": 0.006008228822915606, ""track_persistence"": 32.0}"
V0,Q1,1,10.0,20.0,0.6949260574141178,3.0,2.0,20,"{""approximate_ttc_urgency"": 1.2686975881034515, ""box_growth"": 2.533681734529439, ""front_region_occupancy"": 0.5896799189002644, ""path_directed_lateral_motion"": 0.0051998307384101775, ""track_persistence"": 19.0}"
V0,Q1,2,20.0,30.0,0.8140182303575735,29.0,7.0,23,"{""approximate_ttc_urgency"": 1.4223878200577424, ""box_growth"": 2.4335344703062023, ""front_region_occupancy"": 0.8093990256907678, ""path_directed_lateral_motion"": 0.01038146218844512, ""track_persistence"": 32.0}"
V0,Q1,3,30.0,40.0,0.5846958322556448,9.0,2.0,8,"{""approximate_ttc_urgency"": 0.41503461977069633, ""box_growth"": 0.7749642729491872, ""front_region_occupancy"": 0.7048763303341412, ""path_directed_lateral_motion"": 0.013676248640217742, ""track_persistence"": 23.0}"
V0,Q1,4,40.0,50.0,0.6524077905528682,22.0,2.0,10,"{""approximate_ttc_urgency"": 1.196446831499997, ""box_growth"": 2.14328205559191, ""front_region_occupancy"": 0.6197264019524059, ""path_directed_lateral_motion"": 0.0006724994682545161, ""track_persistence"": 15.0}"
V0,Q1,5,50.0,60.0,0.6158622501865018,14.0,2.0,22,"{""approximate_ttc_urgency"": 0.749815679889155, ""box_growth"": 1.4024938909433955, ""front_region_occupancy"": 0.618247089473844, ""path_directed_lateral_motion"": 0.0015533768147607209, ""track_persistence"": 30.0}"
V0,Q1,6,60.0,70.0,0.8585161279479463,1.0,2.0,16,"{""approximate_ttc_urgency"": 0.9265700312169745, ""box_growth"": 1.6821172827661768, ""front_region_occupancy"": 0.6870281883802143, ""path_directed_lateral_motion"": 0.06902235088371482, ""track_persistence"": 50.0}"
V0,Q1,7,70.0,80.0,0.6324995238423616,32.0,2.0,20,"{""approximate_ttc_urgency"": 2.301091542117158, ""box_growth"": 3.2571011051648457, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.13321382794514933, ""track_persistence"": 2.0}"
V0,Q1,8,80.0,90.0,0.6565485651749694,5.0,2.0,19,"{""approximate_ttc_urgency"": 1.0205128231619853, ""box_growth"": 1.9897875535056786, ""front_region_occupancy"": 0.5803332164972432, ""path_directed_lateral_motion"": 0.000999132984506763, ""track_persistence"": 33.0}"
V0,Q1,9,90.0,100.0,0.615080669723046,48.0,2.0,11,"{""approximate_ttc_urgency"": 0.5631358906447351, ""box_growth"": 1.0367029237857208, ""front_region_occupancy"": 0.7329623256557776, ""path_directed_lateral_motion"": 0.004834334986283087, ""track_persistence"": 27.0}"
V0,Q1,10,100.0,110.0,0.7343105994475051,3.0,2.0,27,"{""approximate_ttc_urgency"": 1.8299900344815592, ""box_growth"": 2.9874463061355403, ""front_region_occupancy"": 0.4050672641925566, ""path_directed_lateral_motion"": 0.019002759141377796, ""track_persistence"": 24.0}"
V0,Q1,11,110.0,120.0,0.598259164814906,45.0,2.0,17,"{""approximate_ttc_urgency"": 0.6506426084687248, ""box_growth"": 1.5608350106997022, ""front_region_occupancy"": 0.0, ""path_directed_lateral_motion"": 0.06936615054096702, ""track_persistence"": 11.0}"
V0,Q1,12,120.0,130.0,0.7091205761810124,1.0,2.0,10,"{""approximate_ttc_urgency"": 0.48493469685123636, ""box_growth"": 0.8733455411070243, ""front_region_occupancy"": 0.6387279597128726, ""path_directed_lateral_motion"": 0.06221406862817317, ""track_persistence"": 50.0}"
V0,Q1,13,130.0,140.0,0.7144049983459183,1.0,2.0,7,"{""approximate_ttc_urgency"": 0.8439968593047892, ""box_growth"": 1.5494854272044913, ""front_region_occupancy"": 0.6668788346854855, ""path_directed_lateral_motion"": 0.009101472063686982, ""track_persistence"": 43.0}"
V0,Q1,14,140.0,150.0,0.6486079179600222,2.0,2.0,5,"{""approximate_ttc_urgency"": 1.1388307328776368, ""box_growth"": 2.033357844438831, ""front_region_occupancy"": 0.707512452556, ""path_directed_lateral_motion"": 0.00802699879367862, ""track_persistence"": 3.0}"
V0,Q1,15,150.0,160.0,0.6573388495941125,82.0,2.0,14,"{""approximate_ttc_urgency"": 1.6252919492175186, ""box_growth"": 2.752962339820349, ""front_region_occupancy"": 0.04448351948083683, ""path_directed_lateral_motion"": 0.10894793382649173, ""track_persistence"": 4.0}"
V0,Q1,16,160.0,170.0,0.7561824156738981,110.0,2.0,15,"{""approximate_ttc_urgency"": 0.884026096725575, ""box_growth"": 1.684715422834805, ""front_region_occupancy"": 0.7104232359564909, ""path_directed_lateral_motion"": 0.01794370360912205, ""track_persistence"": 19.0}"
V0,Q1,17,170.0,180.0,0.798977693312191,19.0,2.0,16,"{""approximate_ttc_urgency"": 1.612079802834329, ""box_growth"": 2.5828259753013865, ""front_region_occupancy"": 0.6283685943352012, ""path_directed_lateral_motion"": 0.02346500212690974, ""track_persistence"": 16.0}"
V0,Q1,18,180.0,190.0,0.6250910130509166,3.0,2.0,9,"{""approximate_ttc_urgency"": 0.8309768164743803, ""box_growth"": 1.4929971036135585, ""front_region_occupancy"": 0.47664699623506385, ""path_directed_lateral_motion"": 0.006339869130293075, ""track_persistence"": 38.0}"
V0,Q1,19,190.0,200.0,0.8658458000222937,1.0,2.0,11,"{""approximate_ttc_urgency"": 1.1309817591253286, ""box_growth"": 2.036898218070481, ""front_region_occupancy"": 0.7731532691097472, ""path_directed_lateral_motion"": 0.02299134379190633, ""track_persistence"": 50.0}"
V0,Q1,20,200.0,210.0,0.7613845698147693,1.0,2.0,11,"{""approximate_ttc_urgency"": 0.6883091482423263, ""box_growth"": 1.2403815832584217, ""front_region_occupancy"": 0.7398130187493128, ""path_directed_lateral_motion"": 0.019163930131880468, ""track_persistence"": 50.0}"
V0,Q1,21,210.0,220.0,0.6027303840821631,77.0,2.0,13,"{""approximate_ttc_urgency"": 0.5167264347559245, ""box_growth"": 0.9896720563735603, ""front_region_occupancy"": 0.7318533837359203, ""path_directed_lateral_motion"": 0.011151713292949388, ""track_persistence"": 11.0}"
V0,Q1,22,220.0,230.0,0.8234113579727932,1.0,2.0,6,"{""approximate_ttc_urgency"": 1.0620556645702144, ""box_growth"": 1.9480963327093663, ""front_region_occupancy"": 0.7288327886406287, ""path_directed_lateral_motion"": 0.020830794212141738, ""track_persistence"": 39.0}"
