"method","proxy_pre_materialized","proxy_cost_in_budget","candidate_pool_preexists","budget_type","query_time_progressive_scan","candidate_vs_confirmed","output_eventrelation","anytime_durable","materialization_commit_cost","query_conditioned_intermediate_fidelity","paper_contract","audited_artifact_behavior","closest_overlap_or_difference","provenance_and_confidence","publication_adaptation_status"
"ARC","The paper generates a complete proxy probability distribution for every frame before refinement.","The stopping budget is oracle calls/sampling fraction; reported time also models exhaustive proxy, oracle, and clustering costs, but is not an enforced online deadline.","Initial candidate clips exist after the exhaustive proxy pass and before oracle refinement.","Oracle-call budget with a confidence target; modeled time is reported separately.","No incomplete raw/proxy scan after candidates are created; yes, progressive oracle sampling over candidate and non-candidate frames.","Returns approximate candidate clips with estimated confidence; proxy, propagated, and sampled evidence are not separated into a confirmed relation.","No. Output is a set of temporal clip intervals and confidences.","No durable snapshot, crash recovery, atomic visibility, or prefix-validity contract found.","No serialization/fsync/commit term in the reported cost equation.","Yes. Predicate semantics transform proxy distributions and drive temporal clustering, candidate construction, sampling, and confidence.","Exhaustively score frames with a probabilistic proxy, cluster them temporally, form candidate relevant clips, then progressively allocate oracle samples and propagate labels until confidence/budget termination.","The hashed local snapshot loads complete proxy/oracle arrays and fixed precomputed clusters from CSV; its main loop has no runtime reclustering/rollback path and no enforced physical deadline.","Direct relevant-clip prior. The benchmark lacks ARC's frame-level probability/oracle domain, so any unit mapping is ARC-inspired unless separately validated.","Complete primary paper; high confidence for paper. Local snapshot provenance is moderate because no commit metadata is available.","Use `ARC-UNIT-INSPIRED` only after the binary unit-domain mapping and synthetic validation are frozen; do not call it faithful ARC."
"SUPG","The paper first scores the complete record universe with a user-provided pretrained proxy.","The formal budget limits oracle labels; proxy computation is outside that budget, although the paper separately analyzes monetary cost.","The full record universe and all proxy scores preexist adaptive oracle sampling and threshold selection.","Oracle-call budget with probabilistic precision or recall target.","No. Oracle labels are sampled adaptively over a fully scored universe.","Selected records can include unverified above-threshold records; there is no event-evidence lifecycle.","No. Output is a selected record set.","No durable anytime result contract found.","Not part of the formal selection budget.","A query-specific proxy score and threshold are used, but no temporal semantic fidelity is generated selectively during the query.","Given proxy scores for all records, adaptively sample an expensive oracle and return a record subset satisfying a probabilistic precision or recall target.","The local source/adapter path consumes full arrays and offline replay labels. The two current adapter views differ before K3 but collapse to identical effective segment output.","Strong prior for proxy-guided verification guarantees over a fixed population, not endogenous discovery or event durability.","Complete primary paper; local adapter/source provenance is project-local rather than a commit-verified reproduction.","Keep one effective SUPG selector. Report native selected-record guarantees separately from confirmed EventRelation adaptation."
"ABae","The paper uses proxy scores over the entire dataset to order and stratify records before expensive sampling.","The primary optimization is expensive-label cost; full proxy scoring is not co-scheduled with that sample budget.","The record population and proxy strata preexist pilot and allocation phases.","Expensive-label sample budget for approximate AVG/SUM/COUNT and confidence interval.","No. It allocates samples across fixed proxy-defined strata.","Not applicable: output is an aggregate estimate rather than candidate/confirmed events.","No.","No durable anytime relation contract found.","Not part of the allocation objective.","Proxy strata are predicate relevant, but there is no temporal event fidelity state.","Use proxy-defined strata, pilot samples, and plug-in optimal allocation to estimate aggregates with expensive predicates.","The current project adapter converts the allocation idea into confirmed segments; that endpoint is not the native ABae algorithm or guarantee.","Allocation prior, not a directly comparable event-retrieval system.","Complete primary paper; high confidence. Local adapter is explicitly inspired rather than faithful.","Use only as `ABAE-ALLOC-DIAGNOSTIC`; do not count as a direct event baseline."
"ExSample","No proxy index is required; the paper targets unindexed video and begins from raw temporal chunks.","Decode, random I/O, and detector throughput are physically measured; there is no separate proxy tier.","No ranked result pool preexists. Temporal chunks are arms and detections emerge from samples.","Result-limit search with adaptive sampling; experiments report elapsed time and processed frames.","Yes. Thompson sampling continually reprioritizes unprocessed chunks using prior expensive results.","Expensive detector hits are final distinct-object results after deduplication; there is no lower-fidelity candidate plus separate semantic verifier.","No. Output is a set/count of distinct detected objects.","No durable snapshot/atomic commit contract found.","No separate event materialization or commit charge.","The query affects reward through new distinct objects, but there is no learned semantic tier between scan and detector.","Adaptively sample chunks of an unindexed repository to find a requested number of distinct objects quickly.","The paper-cited public repository contains the report but no executable implementation; no code behavior is claimed.","Nearest incomplete-scan prior; a simple adaptive-chunk mechanism may explain gains attributed to a complex controller.","Complete primary technical report; high paper confidence, no executable artifact found.","Implement a disclosed independent physical reimplementation and validate its arm policy on synthetic cases."
"Seiden","The paper builds a query-agnostic partial oracle index over I-frames at ingestion; it does not require a lightweight proxy.","Index cost is amortized across queries; query-time sampling has a separate budget rather than one first-query hard deadline.","Index anchors preexist queries; more oracle samples are selected during a query.","Index/query sample fractions and amortized execution-time accounting.","Partly. It samples additional frames at query time and then interpolates labels, but does not start from wholly unscanned video.","Interpolated frame labels feed retrieval/AQP; no candidate-versus-confirmed event relation.","No. Outputs support frame retrieval or aggregates.","No durable anytime snapshot/atomic commit contract found.","Not separately accounted under the query budget.","Yes. Query-time MAB reward is query-dependent and temporal interpolation creates intermediate full-video estimates.","Build query-agnostic anchors with the target model, adaptively sample more frames for each query, interpolate labels, and feed retrieval/AQP.","Official repository commit `6cc4a46...` loads cached target-DNN outputs; `get_target_dnn()` is an identity path, so released experiments are not physical inference runs.","Strong overlap in adaptive sampling and temporal fidelity; key differences are pre-indexing, endpoint, and cost scope.","Complete paper plus official repository at recorded commit; high confidence.","Separate first-query and amortized-index adaptations; cached allocation replay is diagnostic only."
"MIRIS","The paper samples target-video segments for training/validation and query planning; those target-source stages precede or are amortized outside native execution comparisons.","Main comparisons exclude/amortize planning and preprocessing; an end-to-end experiment includes more stages but still excludes detector/GNN training. No hard stop deadline.","Qualifying tracks emerge through sparse execution, but target-video samples/models are prepared first.","Accuracy-matched execution time, not a deadline-controller budget.","Yes. Query-driven tracking starts at low frame rate and selectively increases it.","Stages generate, filter, resolve uncertainty in, and refine tracks; expensive detector/predicate output is native final evidence, not a separate frozen-verifier state.","Not this EventRelation. It returns predicate-satisfying object tracks or track tuples, a closely related relational endpoint.","Stage files are written, but no crash-recoverable prefix or atomic result-visibility contract is specified.","Stage runtime is measured; durable commit/fsync is not an explicit optimization term.","Yes. Query-specific learned RNN filters/refiners and GNN tracking are direct prior art.","Use target-video sampled segments to train/plan query-specific tracking, filtering, uncertainty resolution, and refinement before sparse execution.","Official repository commit `ac486a8...` consumes a precomputed detection path and writes stage files; released execution does not charge online detector inference.","Closest learned temporal-query prior. Independent-pool transfer and added Qwen confirmation materially change its native problem.","Complete primary paper plus official repository at recorded commit; high confidence.","Report `MIRIS-FIRSTQUERY`, `MIRIS-AMORTIZED`, and `MIRIS-XFER` separately. Only native-cost views characterize MIRIS; XFER is a transfer control."
"DIVA","Sparse high-accuracy landmarks are created at capture time; query-specific operators are bootstrapped/trained and upgraded during query execution.","The first operator's training/shipping is included in query delay; later training/shipping overlaps execution. No hard stop-time budget is enforced.","Landmarks preexist; ranked/filter candidates emerge while stored frames are processed.","Full-query delay, progress/time-to-partial-result, bandwidth, and accuracy.","Yes. Frames are processed in multiple passes with progressively more expensive operators and continuous installments.","Yes in substance: cheap operators produce inexact ranking/filter evidence and a cloud detector validates uploaded frames before materialization.","No. Native outputs are positive frames, tagged timeline ranges, or count estimates.","Continuous visible progress exists, but no durable prefix, fsync, recovery, or atomic commit contract was found.","Cloud materialization is architectural, but durable commit cost is not isolated.","Yes. Operators are query-specific and upgraded online using observed progress and cost/accuracy profiles.","Use capture-time landmarks to bootstrap query operators, process frames in cheap-to-expensive passes, validate uploads with a cloud detector, and refine user-visible results continuously.","Paper-only in this audit; no released-code behavior is asserted.","Decisive prior for multi-pass query-time fidelity, validation, and continuous results. Removing landmarks/training/upgrade yields a generic cascade, not DIVA.","Complete USENIX primary paper; high confidence for paper, no artifact audit.","Keep `DIVA-FIRSTQUERY` and `DIVA-LANDMARK-AMORTIZED` as distinct cost views; call the generic control `FIXED-MULTIPASS`, never DIVA."
"VideoStorm","Offline profiling produces a resource-quality surface for each query configuration.","Profiling is outside online scheduling; the online scheduler allocates cluster resources using quality and lag.","Not an archive candidate pool; it processes live query DAGs.","Cluster resource allocation with query quality/lag utility.","Continuous stream processing, not progressive retrospective search.","No explicit speculative-to-confirmed event lifecycle in the scheduler contract.","No. Outputs are application analytics streams.","No durable anytime relation/commit contract found.","Not an explicit scheduler objective term.","Yes at the systems level: it selects frame rate, resolution, and algorithm configurations per query.","Profile query configurations offline and schedule live video queries to optimize quality and permissible lag under cluster resources.","Paper-only in this audit; no released-code behavior is asserted.","Prior for adaptive video fidelity/resource scheduling, but not retrospective semantic event recovery.","Complete USENIX primary paper; high confidence for paper.","Related-work boundary; not a direct benchmark baseline without a live multi-query workload."
"Adaptive Greedy Frame Selection (2026)","A bounded 1-FPS pool of up to 1,000 frames is fully embedded before subset selection.","The method uses a fixed selected-frame/token budget; complete candidate embedding and downstream VLM inference do not share a physical deadline.","Yes, a complete bounded frame pool.","Cardinality/frame budget with QA accuracy.","No. Selection is a one-shot greedy subset choice.","No separate confirmation; selected frames feed one VLM answer.","No. Output is a QA answer.","No durable anytime relation contract.","No.","Yes. Query relevance, semantic coverage, and a question-type router select a relevance/coverage trade-off.","Greedily optimize query relevance plus facility-location coverage over a fixed pool, with a question-type policy selecting among presets.","Paper/preprint only in this audit; no code behavior is asserted.","Contemporaneous negative evidence against broad query-adaptive frame-selection novelty.","Complete March-2026 arXiv manuscript; moderate confidence because it is a recent preprint.","Literature/feature comparator if frame-selection becomes a claim; not a native event baseline."
"Zeus","No complete target-video proxy is pre-materialized. The action classifier and RL policy are trained on labeled training videos; adaptive proxy features are generated for each selected segment.","Query execution includes adaptive feature/classifier/policy inference; classifier/policy training and training-video feature preprocessing are one-time offline costs.","No full result pool preexists. The raw target video is traversed via adaptively sized, sampled, and resolved segments.","Minimize full-query processing time while meeting a user-specified action-localization accuracy target.","Yes. A sequential RL policy chooses sampling rate, segment length, and resolution and can skim irrelevant spans.","The action classifier/policy produces localized action segments; no separate high-cost confirmation state is part of the native endpoint.","No typed EventRelation, but localized action segments with start/end boundaries are a very close temporal endpoint.","No durable prefix/atomic commit contract found.","No explicit durable materialization/commit term.","Yes. The policy and classifier are trained for action queries and select heterogeneous temporal/spatial fidelity online.","Train an accuracy-aware RL agent and action classifier, then sequentially choose segment resolution, length, and sampling rate to localize all actions efficiently.","Paper-only in this audit; no released-code behavior is asserted.","Most direct prior to a learned heterogeneous action controller. MF-PSVR cannot claim adaptive learned segment/fidelity scheduling as new.","Complete SIGMOD primary paper; high confidence for paper.","A Zeus-style adaptive-configuration comparator is mandatory for a controller claim; added Qwen confirmation makes it a benchmark adaptation."
